onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	44	mem	lib	low	low	low	nt	ht	nh/1001_nh.bmp
7.92	0.72	2	1	3	124	per	con	low	mod	low	nt	cr	nh/0704_nh.bmp
8.64	0.72	3	1	2	10	mem	lib	mod	mod	mod	tg	ht	wh/0984.bmp
9.36	0.72	4	1	3	100	per	lib	low	low	low	tg	ht	wh/1022.bmp
10.08	0.72	5	1	3	49	per	lib	mod	mod	mod	nt	cr	nh/0959_nh.bmp
10.80	0.72	6	1	3	117	per	con	low	mod	low	tg	ht	wh/0932.bmp
11.52	0.72	7	1	1	48	mem	con	mod	mod	mod	tg	ht	wh/0938.bmp
12.24	0.72	8	1	4	124	mem	lib	mod	mod	low	nt	ht	nh/0133_nh.bmp
12.96	0.72	9	1	4	125	mem	lib	mod	mod	low	tg	ht	wh/0392.bmp
13.68	0.72	10	1	3	122	per	con	low	mod	low	nt	cr	nh/0379_nh.bmp
14.40	0.72	11	1	3	73	mem	lib	mod	mod	mod	tg	ht	wh/0841.bmp
15.12	0.72	12	1	2	83	mem	con	mod	mod	low	tg	ht	wh/0177.bmp
15.84	0.72	13	1	2	102	per	lib	low	mod	low	nt	cr	nh/0745_nh.bmp
16.56	0.72	14	2	4	125	mem	lib	mod	mod	low	tg	ht	wh/0392.bmp
17.28	0.72	15	1	2	11	mem	lib	mod	mod	mod	nt	ht	nh/0425_nh.bmp
18.00	0.72	16	1	1	16	per	con	low	mod	low	nt	cr	nh/0472_nh.bmp
18.72	0.72	17	1	1	8	per	con	low	mod	low	nt	cr	nh/0573_nh.bmp
19.44	0.72	18	1	4	61	mem	con	mod	mod	mod	nt	ms	nh/0600_nh.bmp
20.16	0.72	19	1	1	114	per	lib	mod	mod	mod	nt	cr	nh/0801_nh.bmp
20.88	0.72	20	1	2	100	per	lib	low	mod	low	tg	ms	wh/0325.bmp
21.60	0.72	21	1	4	87	per	lib	low	mod	low	nt	fa	nh/0727_nh.bmp
22.32	0.72	22	1	1	124	per	lib	mod	mod	mod	nt	cr	nh/0414_nh.bmp
23.04	0.72	23	1	1	47	mem	con	mod	mod	mod	tg	ht	wh/0070.bmp
23.76	0.72	24	1	1	44	mem	con	mod	mod	mod	nt	ms	nh/0580_nh.bmp
24.48	0.72	25	1	2	46	mem	lib	low	low	low	nt	ht	nh/0354_nh.bmp
25.20	0.72	26	2	3	117	per	con	low	mod	low	tg	ht	wh/0932.bmp
25.92	0.72	27	1	1	37	mem	con	mod	mod	mod	tg	ht	wh/0857.bmp
26.64	0.72	28	1	2	19	per	con	mod	mod	mod	nt	cr	nh/0658_nh.bmp
27.36	0.72	29	1	2	97	per	lib	low	mod	low	nt	cr	nh/0766_nh.bmp
28.08	0.72	30	1	4	113	mem	lib	mod	mod	low	nt	ht	nh/0155_nh.bmp
28.80	0.72	31	1	1	64	per	lib	low	low	low	tg	ht	wh/0634.bmp
29.52	0.72	32	2	2	19	per	con	mod	mod	mod	nt	cr	nh/0658_nh.bmp
30.24	0.72	33	1	4	83	per	lib	low	mod	low	nt	fa	nh/0200_nh.bmp
30.96	0.72	34	1	4	86	per	lib	low	mod	low	tg	ht	wh/0168.bmp
31.68	0.72	35	1	1	97	mem	lib	mod	mod	low	tg	ht	wh/0377.bmp
32.40	0.72	36	1	2	53	per	con	low	low	low	tg	ms	wh/0788.bmp
33.12	0.72	37	1	3	10	mem	con	mod	mod	low	nt	ht	nh/0014_nh.bmp
33.84	0.72	38	1	4	48	per	lib	mod	low	mod	tg	ht	wh/0149.bmp
34.56	0.72	39	1	3	80	mem	lib	mod	mod	mod	tg	ht	wh/0585.bmp
35.28	0.72	40	1	4	49	mem	con	mod	mod	mod	tg	ht	wh/0002.bmp
36.00	0.72	41	1	1	108	mem	lib	mod	mod	low	nt	ht	nh/0816_nh.bmp
36.72	0.72	42	1	1	43	mem	con	mod	mod	mod	nt	ht	nh/0287_nh.bmp
37.44	0.72	43	2	1	114	per	lib	mod	mod	mod	nt	cr	nh/0801_nh.bmp
38.16	0.72	44	1	4	126	mem	lib	mod	mod	low	nt	ht	nh/0435_nh.bmp
38.88	0.72	45	1	1	107	mem	lib	mod	mod	low	tg	ht	wh/0019.bmp
39.60	0.72	46	1	4	118	mem	lib	mod	mod	low	tg	ht	wh/0031.bmp
40.32	0.72	47	3	1	114	per	lib	mod	mod	mod	nt	cr	nh/0801_nh.bmp
41.04	0.72	48	2	1	8	per	con	low	mod	low	nt	cr	nh/0573_nh.bmp
41.76	0.72	49	1	4	50	mem	con	mod	mod	mod	tg	ms	wh/0724.bmp
42.48	0.72	50	1	1	28	per	con	mod	low	mod	nt	cr	nh/0047_nh.bmp
43.20	0.72	51	1	3	99	per	lib	low	low	low	tg	ht	wh/0121.bmp
43.92	0.72	52	1	4	111	per	con	low	low	low	nt	cr	nh/0432_nh.bmp
44.64	0.72	53	1	2	94	mem	con	mod	mod	low	nt	ms	nh/0868_nh.bmp
45.36	0.72	54	1	2	14	mem	lib	mod	mod	mod	tg	ht	wh/0642.bmp
46.08	0.72	55	1	4	5	per	con	mod	mod	mod	nt	cr	nh/0637_nh.bmp
46.80	0.72	56	1	1	74	mem	con	low	low	mod	nt	ht	nh/0326_nh.bmp
