onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	16	mem	lib	mod	mod	low	tg	ht	wh/0177.bmp
7.92	0.72	2	1	4	77	mem	lib	mod	mod	mod	nt	ht	nh/0162_nh.bmp
8.64	0.72	3	1	3	61	per	con	mod	mod	mod	tg	ht	wh/0189.bmp
9.36	0.72	4	1	3	24	per	lib	mod	mod	mod	tg	ht	wh/0100.bmp
10.08	0.72	5	1	2	59	per	lib	low	mod	low	nt	fa	nh/0769_nh.bmp
10.80	0.72	6	1	3	81	per	con	low	mod	low	tg	ms	wh/0455.bmp
11.52	0.72	7	1	4	68	mem	lib	mod	mod	mod	tg	ht	wh/0920.bmp
12.24	0.72	8	2	4	68	mem	lib	mod	mod	mod	tg	ht	wh/0920.bmp
12.96	0.72	9	1	4	47	mem	lib	low	low	mod	tg	ht	wh/0322.bmp
13.68	0.72	10	1	2	88	per	con	low	mod	low	nt	cr	nh/0156_nh.bmp
14.40	0.72	11	1	2	95	per	con	low	mod	low	nt	cr	nh/0766_nh.bmp
15.12	0.72	12	1	2	5	mem	lib	mod	mod	mod	nt	ht	nh/0580_nh.bmp
15.84	0.72	13	1	1	92	per	con	mod	mod	mod	tg	ht	wh/0466.bmp
16.56	0.72	14	1	2	58	per	lib	low	mod	low	tg	ht	wh/0251.bmp
17.28	0.72	15	1	3	67	mem	con	mod	mod	low	nt	ht	nh/0155_nh.bmp
18.00	0.72	16	2	3	24	per	lib	mod	mod	mod	tg	ht	wh/0100.bmp
18.72	0.72	17	1	1	120	mem	con	mod	mod	low	tg	ht	wh/0997.bmp
19.44	0.72	18	1	3	69	mem	con	mod	mod	low	nt	ht	nh/0435_nh.bmp
20.16	0.72	19	1	3	92	per	con	low	mod	low	nt	cr	nh/0116_nh.bmp
20.88	0.72	20	2	1	16	mem	lib	mod	mod	low	tg	ht	wh/0177.bmp
21.60	0.72	21	1	1	89	per	con	mod	mod	mod	nt	cr	nh/0391_nh.bmp
22.32	0.72	22	1	4	71	mem	lib	mod	mod	mod	tg	ht	wh/0526.bmp
23.04	0.72	23	1	3	65	mem	con	mod	mod	low	nt	ht	nh/0515_nh.bmp
23.76	0.72	24	2	2	95	per	con	low	mod	low	nt	cr	nh/0766_nh.bmp
24.48	0.72	25	1	3	49	per	con	mod	mod	mod	nt	cr	nh/0959_nh.bmp
25.20	0.72	26	1	3	103	mem	lib	mod	mod	low	tg	ht	wh/0741.bmp
25.92	0.72	27	1	2	81	per	con	low	mod	low	tg	ht	wh/0514.bmp
26.64	0.72	28	2	4	71	mem	lib	mod	mod	mod	tg	ht	wh/0526.bmp
27.36	0.72	29	1	4	23	mem	con	low	low	mod	tg	ms	wh/0296.bmp
28.08	0.72	30	1	3	118	mem	con	low	low	low	tg	ht	wh/0486.bmp
28.80	0.72	31	1	3	102	mem	lib	mod	mod	low	nt	ht	nh/0178_nh.bmp
29.52	0.72	32	1	3	107	mem	lib	mod	mod	low	nt	ht	nh/0649_nh.bmp
30.24	0.72	33	1	3	66	mem	con	mod	mod	low	tg	ht	wh/0392.bmp
30.96	0.72	34	1	4	98	per	con	low	low	low	nt	cr	nh/1012_nh.bmp
31.68	0.72	35	1	4	20	mem	con	low	low	mod	nt	ms	nh/0324_nh.bmp
32.40	0.72	36	1	2	44	mem	con	mod	mod	mod	nt	ht	nh/0001_nh.bmp
33.12	0.72	37	1	1	3	mem	lib	mod	mod	low	tg	ms	wh/0675.bmp
33.84	0.72	38	1	2	90	per	con	low	mod	low	tg	ms	wh/0145.bmp
34.56	0.72	39	1	2	94	per	con	low	mod	low	nt	cr	nh/0387_nh.bmp
35.28	0.72	40	2	3	81	per	con	low	mod	low	tg	ms	wh/0455.bmp
36.00	0.72	41	1	2	36	mem	con	mod	mod	mod	nt	ms	nh/0700_nh.bmp
36.72	0.72	42	3	3	24	per	lib	mod	mod	mod	tg	ht	wh/0100.bmp
37.44	0.72	43	1	1	90	per	con	mod	mod	mod	tg	ht	wh/0534.bmp
38.16	0.72	44	1	3	38	per	lib	low	mod	low	nt	fa	nh/0379_nh.bmp
38.88	0.72	45	1	2	12	mem	lib	mod	mod	mod	tg	ht	wh/0919.bmp
39.60	0.72	46	1	3	88	per	con	low	mod	low	nt	fa	nh/1021_nh.bmp
40.32	0.72	47	1	3	108	mem	lib	mod	mod	low	nt	ht	nh/0926_nh.bmp
41.04	0.72	48	2	3	102	mem	lib	mod	mod	low	nt	ht	nh/0178_nh.bmp
41.76	0.72	49	1	3	20	per	lib	mod	mod	mod	nt	cr	nh/0637_nh.bmp
42.48	0.72	50	1	3	31	per	lib	mod	mod	mod	tg	ms	wh/0750.bmp
