onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	125	mem	con	mod	mod	low	nt	ht	nh/0976_nh.bmp
7.92	0.72	2	1	2	16	per	con	mod	low	mod	tg	ht	wh/0539.bmp
8.64	0.72	3	1	1	2	per	con	low	mod	low	tg	n/a	wh/0195.bmp
9.36	0.72	4	1	2	36	per	con	low	low	low	nt	cr	nh/0607_nh.bmp
10.08	0.72	5	1	1	87	per	con	mod	mod	mod	tg	ht	wh/0427.bmp
10.80	0.72	6	1	4	104	per	lib	low	low	low	tg	ht	wh/0160.bmp
11.52	0.72	7	1	1	58	mem	lib	mod	mod	mod	tg	ht	wh/0445.bmp
12.24	0.72	8	1	4	48	per	con	mod	mod	mod	tg	ht	wh/0331.bmp
12.96	0.72	9	1	3	16	mem	lib	mod	mod	low	tg	ht	wh/0494.bmp
13.68	0.72	10	1	2	73	mem	lib	mod	mod	low	nt	ht	nh/0390_nh.bmp
14.40	0.72	11	1	4	92	per	con	low	mod	low	nt	cr	nh/0302_nh.bmp
15.12	0.72	12	1	2	75	mem	lib	mod	mod	low	tg	ht	wh/0615.bmp
15.84	0.72	13	1	2	127	mem	con	mod	mod	mod	tg	ms	wh/0759.bmp
16.56	0.72	14	1	4	16	mem	con	mod	mod	low	tg	ht	wh/0323.bmp
17.28	0.72	15	1	3	1	mem	lib	mod	mod	low	nt	ht	nh/0415_nh.bmp
18.00	0.72	16	1	1	74	per	lib	low	mod	low	tg	ms	wh/0575.bmp
18.72	0.72	17	1	4	6	mem	con	mod	mod	low	tg	ht	wh/0368.bmp
19.44	0.72	18	1	3	77	mem	con	mod	mod	mod	nt	ht	nh/0983_nh.bmp
20.16	0.72	19	1	4	38	per	con	mod	mod	mod	nt	cr	nh/0799_nh.bmp
20.88	0.72	20	1	1	80	per	lib	low	mod	low	nt	cr	nh/0030_nh.bmp
21.60	0.72	21	1	3	54	per	lib	mod	mod	mod	nt	cr	nh/0961_nh.bmp
22.32	0.72	22	1	1	46	mem	lib	low	low	low	tg	ht	wh/0653.bmp
23.04	0.72	23	2	3	54	per	lib	mod	mod	mod	nt	cr	nh/0961_nh.bmp
23.76	0.72	24	1	2	68	mem	lib	mod	mod	low	nt	ht	nh/0523_nh.bmp
24.48	0.72	25	1	1	91	per	con	mod	mod	mod	tg	ht	wh/0943.bmp
25.20	0.72	26	1	4	66	mem	con	low	low	low	tg	ms	wh/0167.bmp
25.92	0.72	27	1	1	122	mem	con	mod	mod	low	tg	ht	wh/0643.bmp
26.64	0.72	28	1	4	52	per	lib	mod	low	mod	tg	ht	wh/0616.bmp
27.36	0.72	29	1	4	28	mem	lib	mod	mod	mod	nt	ht	nh/0901_nh.bmp
28.08	0.72	30	1	2	77	mem	lib	mod	mod	low	tg	ht	wh/0236.bmp
28.80	0.72	31	1	3	60	per	lib	mod	mod	mod	tg	ht	wh/0925.bmp
29.52	0.72	32	1	3	49	per	lib	mod	mod	mod	tg	ht	wh/0645.bmp
30.24	0.72	33	1	3	73	mem	con	mod	mod	mod	tg	ht	wh/0348.bmp
30.96	0.72	34	1	1	34	mem	lib	low	low	low	nt	ht	nh/0117_nh.bmp
31.68	0.72	35	1	1	10	per	con	low	mod	low	tg	ms	wh/0400.bmp
32.40	0.72	36	1	4	114	mem	lib	low	low	mod	nt	ht	nh/0950_nh.bmp
33.12	0.72	37	1	2	57	per	lib	mod	mod	mod	nt	cr	nh/0895_nh.bmp
33.84	0.72	38	1	4	72	mem	con	low	low	low	tg	ms	wh/0161.bmp
34.56	0.72	39	1	1	37	mem	lib	low	low	low	tg	ht	wh/0171.bmp
35.28	0.72	40	1	4	87	per	con	low	mod	low	tg	ms	wh/0259.bmp
36.00	0.72	41	1	3	5	mem	lib	mod	mod	low	tg	ht	wh/0007.bmp
36.72	0.72	42	1	2	115	mem	con	mod	mod	mod	nt	ht	nh/0477_nh.bmp
37.44	0.72	43	1	1	49	mem	lib	mod	mod	mod	tg	ht	wh/0282.bmp
38.16	0.72	44	2	1	122	mem	con	mod	mod	low	tg	ht	wh/0643.bmp
38.88	0.72	45	1	1	111	per	lib	mod	low	mod	tg	ht	wh/0826.bmp
39.60	0.72	46	1	2	80	mem	lib	mod	mod	low	tg	ht	wh/0424.bmp
40.32	0.72	47	1	3	57	per	lib	mod	mod	mod	nt	cr	nh/0796_nh.bmp
41.04	0.72	48	1	2	55	per	lib	mod	mod	mod	nt	cr	nh/0664_nh.bmp
41.76	0.72	49	1	1	1	per	con	low	mod	low	nt	cr	nh/0454_nh.bmp
42.48	0.72	50	1	1	96	per	con	mod	mod	mod	nt	cr	nh/0604_nh.bmp
43.20	0.72	51	1	1	81	per	con	mod	mod	mod	nt	cr	nh/0365_nh.bmp
43.92	0.72	52	1	1	76	per	lib	low	mod	low	nt	cr	nh/0410_nh.bmp
44.64	0.72	53	1	1	4	per	con	low	mod	low	nt	cr	nh/0641_nh.bmp
45.36	0.72	54	1	2	40	per	con	low	low	low	tg	ms	wh/0430.bmp
46.08	0.72	55	1	1	15	per	con	low	mod	low	nt	cr	nh/0703_nh.bmp
46.80	0.72	56	1	4	4	mem	con	mod	mod	low	nt	ht	nh/0511_nh.bmp
47.52	0.72	57	1	3	91	per	con	low	low	low	nt	cr	nh/0471_nh.bmp
48.24	0.72	58	1	3	46	per	lib	low	mod	low	nt	cr	nh/0293_nh.bmp
48.96	0.72	59	2	3	73	mem	con	mod	mod	mod	tg	ht	wh/0348.bmp
49.68	0.72	60	2	1	2	per	con	low	mod	low	tg	n/a	wh/0195.bmp
50.40	0.72	61	1	1	86	per	con	mod	mod	mod	nt	cr	nh/0931_nh.bmp
51.12	0.72	62	1	4	31	mem	lib	mod	mod	mod	nt	ht	nh/0320_nh.bmp
51.84	0.72	63	2	2	68	mem	lib	mod	mod	low	nt	ht	nh/0523_nh.bmp
52.56	0.72	64	2	2	55	per	lib	mod	mod	mod	nt	cr	nh/0664_nh.bmp
53.28	0.72	65	1	2	21	mem	con	low	low	mod	nt	ht	nh/0707_nh.bmp
54.00	0.72	66	1	2	51	per	lib	mod	mod	mod	tg	ht	wh/0479.bmp
54.72	0.72	67	1	1	112	per	lib	mod	low	mod	tg	ms	wh/0595.bmp
55.44	0.72	68	2	1	96	per	con	mod	mod	mod	nt	cr	nh/0604_nh.bmp
56.16	0.72	69	1	2	59	per	lib	mod	mod	mod	tg	ht	wh/0806.bmp
56.88	0.72	70	2	2	57	per	lib	mod	mod	mod	nt	cr	nh/0895_nh.bmp
57.60	0.72	71	2	4	4	mem	con	mod	mod	low	nt	ht	nh/0511_nh.bmp
58.32	0.72	72	1	4	30	mem	lib	mod	mod	mod	tg	ht	wh/1010.bmp
59.04	0.72	73	1	3	58	per	lib	mod	mod	mod	nt	fa	nh/0137_nh.bmp
59.76	0.72	74	1	4	43	per	con	mod	mod	mod	nt	cr	nh/0562_nh.bmp
