onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	8	55	mem	con	mod	mod	mod	tg	ht	wh/0973.bmp
7.92	0.72	2	1	5	19	mem	con	mod	mod	low	nt	ht	nh/0238_nh.bmp
8.64	0.72	3	1	7	31	mem	lib	low	low	low	nt	ht	nh/0528_nh.bmp
9.36	0.72	4	1	5	121	mem	lib	low	low	mod	nt	ht	nh/0306_nh.bmp
10.08	0.72	5	1	6	27	per	con	mod	mod	mod	nt	cr	nh/0222_nh.bmp
10.80	0.72	6	1	6	108	per	con	low	mod	low	tg	ms	wh/0758.bmp
11.52	0.72	7	1	8	102	mem	lib	mod	mod	mod	nt	ht	nh/0748_nh.bmp
12.24	0.72	8	1	6	90	mem	con	mod	mod	mod	nt	ms	nh/0497_nh.bmp
12.96	0.72	9	1	7	68	mem	con	mod	mod	low	nt	ht	nh/0503_nh.bmp
13.68	0.72	10	2	6	27	per	con	mod	mod	mod	nt	cr	nh/0222_nh.bmp
14.40	0.72	11	1	6	105	per	con	low	mod	low	tg	ms	wh/0256.bmp
15.12	0.72	12	1	8	100	mem	lib	mod	mod	mod	tg	ht	wh/0558.bmp
15.84	0.72	13	1	5	9	mem	con	low	low	low	nt	ht	nh/0483_nh.bmp
16.56	0.72	14	1	6	17	per	con	mod	mod	mod	nt	cr	nh/0874_nh.bmp
17.28	0.72	15	1	6	88	mem	con	mod	mod	mod	nt	ht	nh/0843_nh.bmp
18.00	0.72	16	1	8	89	per	con	mod	mod	mod	tg	ht	wh/0650.bmp
18.72	0.72	17	1	6	56	mem	lib	mod	mod	mod	tg	ms	wh/0591.bmp
19.44	0.72	18	1	8	63	mem	con	mod	mod	mod	nt	ms	nh/0563_nh.bmp
20.16	0.72	19	1	8	39	per	lib	low	mod	low	nt	fa	nh/0690_nh.bmp
20.88	0.72	20	1	6	35	mem	lib	low	low	low	tg	ht	wh/0266.bmp
21.60	0.72	21	1	8	30	mem	lib	low	low	mod	tg	n/a	wh/0762.bmp
22.32	0.72	22	1	8	60	mem	con	mod	mod	mod	nt	ht	nh/0548_nh.bmp
23.04	0.72	23	1	7	92	per	lib	low	low	low	tg	ht	wh/0053.bmp
23.76	0.72	24	1	5	109	mem	lib	mod	mod	low	nt	ht	nh/0493_nh.bmp
24.48	0.72	25	1	6	30	per	con	mod	mod	mod	tg	ms	wh/0855.bmp
25.20	0.72	26	1	5	28	mem	con	mod	mod	low	nt	ht	nh/0125_nh.bmp
25.92	0.72	27	1	5	42	per	lib	mod	mod	mod	nt	cr	nh/0446_nh.bmp
26.64	0.72	28	1	8	110	mem	lib	mod	mod	mod	tg	ht	wh/0350.bmp
27.36	0.72	29	1	8	78	per	lib	mod	mod	mod	nt	fa	nh/0803_nh.bmp
28.08	0.72	30	1	5	87	per	lib	low	mod	low	nt	cr	nh/0963_nh.bmp
28.80	0.72	31	2	8	89	per	con	mod	mod	mod	tg	ht	wh/0650.bmp
29.52	0.72	32	1	8	64	mem	con	mod	mod	mod	tg	ms	wh/0947.bmp
30.24	0.72	33	1	5	2	mem	con	low	low	low	tg	ms	wh/0710.bmp
30.96	0.72	34	1	7	61	per	lib	mod	low	mod	tg	ht	wh/0736.bmp
31.68	0.72	35	1	5	86	per	lib	low	mod	low	tg	ms	wh/0080.bmp
32.40	0.72	36	1	5	35	per	lib	mod	mod	mod	nt	cr	nh/0714_nh.bmp
33.12	0.72	37	1	8	96	per	con	mod	mod	mod	tg	ms	wh/0904.bmp
33.84	0.72	38	1	5	80	per	con	low	low	low	tg	ms	wh/0998.bmp
34.56	0.72	39	3	6	27	per	con	mod	mod	mod	nt	cr	nh/0222_nh.bmp
35.28	0.72	40	1	5	100	mem	lib	mod	mod	low	nt	ht	nh/0934_nh.bmp
36.00	0.72	41	1	6	76	per	lib	low	low	low	nt	fa	nh/0437_nh.bmp
36.72	0.72	42	1	5	70	per	con	low	low	low	nt	cr	nh/0956_nh.bmp
37.44	0.72	43	1	7	77	mem	con	mod	mod	low	tg	ht	wh/0489.bmp
38.16	0.72	44	2	6	108	per	con	low	mod	low	tg	ms	wh/0758.bmp
38.88	0.72	45	1	6	81	mem	con	mod	mod	mod	tg	ht	wh/0876.bmp
39.60	0.72	46	1	5	30	mem	con	mod	mod	low	tg	ht	wh/0190.bmp
40.32	0.72	47	1	8	88	per	con	mod	mod	mod	tg	ms	wh/0182.bmp
41.04	0.72	48	1	8	22	mem	lib	low	low	mod	nt	ht	nh/0068_nh.bmp
41.76	0.72	49	1	5	96	per	lib	low	mod	low	nt	fa	nh/0660_nh.bmp
42.48	0.72	50	1	6	92	mem	con	mod	mod	mod	tg	ht	wh/0095.bmp
43.20	0.72	51	1	7	104	mem	lib	mod	mod	low	nt	ht	nh/0153_nh.bmp
43.92	0.72	52	1	8	71	per	lib	mod	mod	mod	tg	ht	wh/0807.bmp
44.64	0.72	53	1	8	54	mem	con	mod	mod	mod	tg	ms	wh/0462.bmp
45.36	0.72	54	1	6	38	mem	lib	low	low	low	nt	ht	nh/0536_nh.bmp
46.08	0.72	55	1	8	109	mem	lib	mod	mod	mod	tg	ms	wh/0339.bmp
46.80	0.72	56	1	5	21	mem	con	mod	mod	low	tg	ms	wh/0074.bmp
47.52	0.72	57	2	5	87	per	lib	low	mod	low	nt	cr	nh/0963_nh.bmp
48.24	0.72	58	1	5	90	per	lib	low	mod	low	nt	fa	nh/0035_nh.bmp
