onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	70	per	lib	mod	mod	mod	tg	ht	wh/0935.bmp
7.92	0.72	2	1	1	5	per	con	mod	mod	mod	nt	cr	nh/0847_nh.bmp
8.64	0.72	3	1	1	24	per	con	low	mod	low	nt	cr	nh/0341_nh.bmp
9.36	0.72	4	1	4	94	mem	lib	mod	mod	mod	nt	ht	nh/0393_nh.bmp
10.08	0.72	5	1	3	67	per	lib	mod	mod	mod	tg	ht	wh/0561.bmp
10.80	0.72	6	1	1	114	mem	con	mod	mod	low	nt	ht	nh/0769_nh.bmp
11.52	0.72	7	1	4	47	per	con	mod	mod	mod	tg	ms	wh/0724.bmp
12.24	0.72	8	1	1	22	per	con	low	mod	low	tg	ms	wh/0675.bmp
12.96	0.72	9	1	3	39	mem	con	mod	mod	mod	nt	ht	nh/0637_nh.bmp
13.68	0.72	10	1	1	123	mem	con	mod	mod	low	nt	ht	nh/0573_nh.bmp
14.40	0.72	11	1	2	116	per	lib	low	mod	low	nt	cr	nh/0066_nh.bmp
15.12	0.72	12	1	3	118	per	lib	low	low	low	tg	ht	wh/0486.bmp
15.84	0.72	13	1	3	104	per	con	mod	low	mod	nt	cr	nh/0527_nh.bmp
16.56	0.72	14	1	2	44	mem	con	mod	mod	mod	nt	ht	nh/0621_nh.bmp
17.28	0.72	15	1	1	77	mem	lib	mod	mod	mod	nt	ht	nh/0414_nh.bmp
18.00	0.72	16	1	2	78	per	lib	mod	mod	mod	tg	ht	wh/0642.bmp
18.72	0.72	17	1	3	30	mem	lib	mod	mod	low	nt	ht	nh/1021_nh.bmp
19.44	0.72	18	1	2	93	per	con	low	low	low	tg	ms	wh/0709.bmp
20.16	0.72	19	1	3	23	mem	lib	mod	mod	low	tg	ht	wh/0168.bmp
20.88	0.72	20	1	3	65	per	lib	mod	mod	mod	nt	cr	nh/0965_nh.bmp
