onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	4	89	per	lib	mod	mod	mod	tg	ht	wh/0628.bmp
7.92	0.72	2	1	2	121	per	lib	low	mod	low	tg	ht	wh/0703.bmp
8.64	0.72	3	1	1	117	mem	lib	mod	mod	low	tg	ht	wh/0512.bmp
9.36	0.72	4	1	1	121	mem	lib	mod	mod	low	tg	ht	wh/0976.bmp
10.08	0.72	5	1	3	23	per	lib	low	mod	low	tg	ht	wh/0882.bmp
10.80	0.72	6	1	2	74	per	con	low	mod	low	nt	cr	nh/0315_nh.bmp
11.52	0.72	7	1	3	1	mem	con	low	low	low	nt	ms	nh/0107_nh.bmp
12.24	0.72	8	1	1	6	per	lib	mod	mod	mod	nt	cr	nh/0061_nh.bmp
12.96	0.72	9	1	3	59	per	lib	mod	low	mod	nt	fa	nh/0917_nh.bmp
13.68	0.72	10	1	2	114	per	lib	low	mod	low	nt	cr	nh/1000_nh.bmp
14.40	0.72	11	1	3	85	mem	con	mod	mod	mod	nt	ht	nh/0576_nh.bmp
15.12	0.72	12	1	4	112	mem	con	mod	mod	low	tg	ms	wh/0415.bmp
15.84	0.72	13	1	1	88	per	con	low	low	low	nt	fa	nh/0819_nh.bmp
16.56	0.72	14	1	2	101	mem	con	mod	mod	mod	nt	ht	nh/0445_nh.bmp
17.28	0.72	15	1	2	123	per	lib	low	mod	low	nt	fa	nh/0195_nh.bmp
18.00	0.72	16	2	2	123	per	lib	low	mod	low	nt	fa	nh/0195_nh.bmp
18.72	0.72	17	1	2	109	mem	con	mod	mod	mod	tg	ms	wh/0151.bmp
19.44	0.72	18	1	3	119	per	con	low	mod	low	tg	ms	wh/0459.bmp
20.16	0.72	19	1	4	96	per	lib	mod	mod	mod	nt	cr	nh/0097_nh.bmp
20.88	0.72	20	1	2	78	per	con	low	mod	low	tg	ht	wh/0410.bmp
21.60	0.72	21	2	1	121	mem	lib	mod	mod	low	tg	ht	wh/0976.bmp
22.32	0.72	22	1	3	75	mem	lib	low	low	mod	nt	ht	nh/0555_nh.bmp
23.04	0.72	23	1	4	31	per	con	mod	mod	mod	nt	cr	nh/0665_nh.bmp
23.76	0.72	24	1	3	15	mem	con	low	low	low	nt	ms	nh/0908_nh.bmp
24.48	0.72	25	1	4	44	mem	lib	low	low	low	nt	ht	nh/0369_nh.bmp
25.20	0.72	26	1	3	40	mem	lib	mod	mod	low	nt	ht	nh/0323_nh.bmp
25.92	0.72	27	1	2	107	mem	con	mod	mod	mod	tg	ht	wh/0343.bmp
26.64	0.72	28	1	2	23	mem	lib	low	low	low	tg	ht	wh/0484.bmp
27.36	0.72	29	1	3	127	per	con	low	mod	low	tg	ms	wh/0293.bmp
28.08	0.72	30	1	3	116	per	con	low	mod	low	nt	cr	nh/0765_nh.bmp
28.80	0.72	31	1	3	81	mem	con	mod	mod	mod	tg	ht	wh/0071.bmp
29.52	0.72	32	1	2	69	per	con	low	mod	low	tg	ht	wh/0030.bmp
30.24	0.72	33	1	4	116	mem	lib	mod	mod	mod	tg	ht	wh/0413.bmp
30.96	0.72	34	1	2	24	mem	lib	low	low	low	tg	ht	wh/0565.bmp
31.68	0.72	35	1	1	43	mem	con	mod	mod	low	tg	ms	wh/0390.bmp
32.40	0.72	36	1	3	33	mem	lib	mod	mod	low	tg	ht	wh/0661.bmp
33.12	0.72	37	1	4	32	per	con	mod	mod	mod	tg	ht	wh/0961.bmp
33.84	0.72	38	2	3	33	mem	lib	mod	mod	low	tg	ht	wh/0661.bmp
34.56	0.72	39	1	3	87	mem	con	mod	mod	mod	tg	ht	wh/0901.bmp
35.28	0.72	40	1	2	4	per	con	mod	low	mod	tg	ms	wh/0985.bmp
36.00	0.72	41	1	4	24	per	con	mod	mod	mod	nt	cr	nh/0925_nh.bmp
36.72	0.72	42	1	3	37	mem	lib	mod	mod	low	tg	ht	wh/0124.bmp
37.44	0.72	43	2	2	74	per	con	low	mod	low	nt	cr	nh/0315_nh.bmp
38.16	0.72	44	2	3	116	per	con	low	mod	low	nt	cr	nh/0765_nh.bmp
38.88	0.72	45	2	4	116	mem	lib	mod	mod	mod	tg	ht	wh/0413.bmp
39.60	0.72	46	2	2	101	mem	con	mod	mod	mod	nt	ht	nh/0445_nh.bmp
40.32	0.72	47	1	2	80	per	con	low	mod	low	nt	cr	nh/0575_nh.bmp
41.04	0.72	48	1	2	71	per	con	low	mod	low	tg	ms	wh/0166.bmp
41.76	0.72	49	2	2	114	per	lib	low	mod	low	nt	cr	nh/1000_nh.bmp
42.48	0.72	50	2	2	71	per	con	low	mod	low	tg	ms	wh/0166.bmp
43.20	0.72	51	1	1	39	mem	con	mod	mod	low	nt	ms	nh/0615_nh.bmp
43.92	0.72	52	1	1	55	mem	lib	low	low	mod	tg	ms	wh/0230.bmp
44.64	0.72	53	1	4	43	mem	lib	low	low	low	tg	ht	wh/0327.bmp
45.36	0.72	54	1	4	115	mem	lib	mod	mod	mod	nt	ht	nh/0348_nh.bmp
46.08	0.72	55	1	1	35	mem	con	mod	mod	low	nt	ht	nh/0798_nh.bmp
46.80	0.72	56	1	4	127	mem	lib	mod	mod	mod	tg	ht	wh/0761.bmp
47.52	0.72	57	1	1	29	per	con	mod	mod	mod	nt	cr	nh/0806_nh.bmp
48.24	0.72	58	1	1	3	per	lib	mod	mod	mod	tg	ht	wh/0931.bmp
48.96	0.72	59	1	2	68	per	con	low	mod	low	tg	ht	wh/0246.bmp
49.68	0.72	60	1	1	14	per	lib	mod	mod	mod	tg	ht	wh/0049.bmp
50.40	0.72	61	1	1	26	per	con	mod	mod	mod	tg	ht	wh/0664.bmp
51.12	0.72	62	2	1	39	mem	con	mod	mod	low	nt	ms	nh/0615_nh.bmp
51.84	0.72	63	1	2	117	per	lib	low	mod	low	tg	ht	wh/0641.bmp
52.56	0.72	64	1	2	83	mem	lib	mod	mod	mod	tg	ht	wh/0809.bmp
53.28	0.72	65	1	4	77	per	con	low	low	low	nt	cr	nh/0250_nh.bmp
54.00	0.72	66	1	2	63	per	lib	mod	low	mod	tg	ht	wh/0557.bmp
54.72	0.72	67	2	3	85	mem	con	mod	mod	mod	nt	ht	nh/0576_nh.bmp
55.44	0.72	68	2	2	83	mem	lib	mod	mod	mod	tg	ht	wh/0809.bmp
56.16	0.72	69	1	1	36	mem	con	mod	mod	low	nt	ht	nh/0236_nh.bmp
56.88	0.72	70	1	3	19	per	lib	low	mod	low	nt	fa	nh/0259_nh.bmp
57.60	0.72	71	2	3	23	per	lib	low	mod	low	tg	ht	wh/0882.bmp
58.32	0.72	72	1	1	18	per	con	mod	mod	mod	nt	cr	nh/0479_nh.bmp
59.04	0.72	73	1	3	21	per	lib	low	mod	low	nt	cr	nh/0422_nh.bmp
59.76	0.72	74	1	4	2	per	lib	low	low	low	nt	fa	nh/0375_nh.bmp
60.48	0.72	75	1	3	70	mem	lib	low	low	mod	tg	ht	wh/0208.bmp
61.20	0.72	76	1	3	95	mem	con	mod	mod	mod	nt	ht	nh/1006_nh.bmp
61.92	0.72	77	2	3	127	per	con	low	mod	low	tg	ms	wh/0293.bmp
62.64	0.72	78	3	2	123	per	lib	low	mod	low	nt	fa	nh/0195_nh.bmp
63.36	0.72	79	2	2	78	per	con	low	mod	low	tg	ht	wh/0410.bmp
64.08	0.72	80	1	2	77	per	con	low	mod	low	nt	cr	nh/0509_nh.bmp
64.80	0.72	81	1	1	47	mem	con	mod	mod	low	nt	ms	nh/0424_nh.bmp
65.52	0.72	82	2	4	115	mem	lib	mod	mod	mod	nt	ht	nh/0348_nh.bmp
66.24	0.72	83	2	1	26	per	con	mod	mod	mod	tg	ht	wh/0664.bmp
66.96	0.72	84	1	2	115	per	lib	low	mod	low	tg	ht	wh/0454.bmp
67.68	0.72	85	1	2	93	mem	lib	mod	mod	mod	tg	ms	wh/0039.bmp
68.40	0.72	86	1	4	39	mem	lib	low	low	low	nt	ht	nh/0161_nh.bmp
69.12	0.72	87	1	2	113	per	lib	low	mod	low	nt	cr	nh/0400_nh.bmp
69.84	0.72	88	1	3	4	mem	con	low	low	low	tg	ht	wh/0211.bmp
70.56	0.72	89	1	1	48	mem	con	mod	mod	low	tg	ms	wh/0131.bmp
71.28	0.72	90	1	3	96	mem	con	mod	mod	mod	nt	ms	nh/0487_nh.bmp
72.00	0.72	91	1	1	4	per	lib	mod	mod	mod	nt	cr	nh/0427_nh.bmp
72.72	0.72	92	1	1	37	mem	con	mod	mod	low	tg	ht	wh/0291.bmp
73.44	0.72	93	1	2	92	mem	lib	mod	mod	mod	tg	ht	wh/0477.bmp
74.16	0.72	94	2	2	93	mem	lib	mod	mod	mod	tg	ms	wh/0039.bmp
74.88	0.72	95	1	2	128	per	lib	low	mod	low	nt	fa	nh/0283_nh.bmp
75.60	0.72	96	1	4	102	mem	con	mod	mod	low	tg	ht	wh/0444.bmp
76.32	0.72	97	1	4	92	per	lib	mod	mod	mod	nt	cr	nh/0313_nh.bmp
77.04	0.72	98	3	4	116	mem	lib	mod	mod	mod	tg	ht	wh/0413.bmp
77.76	0.72	99	1	3	29	per	lib	low	mod	low	tg	ht	wh/0302.bmp
78.48	0.72	100	1	2	86	mem	lib	mod	mod	mod	tg	ht	wh/0861.bmp
79.20	0.72	101	1	4	125	mem	lib	mod	mod	mod	nt	ht	nh/0583_nh.bmp
79.92	0.72	102	1	4	91	per	lib	mod	mod	mod	tg	ht	wh/0333.bmp
80.64	0.72	103	1	2	99	mem	con	mod	mod	mod	tg	ms	wh/0705.bmp
81.36	0.72	104	1	4	18	per	con	mod	mod	mod	nt	cr	nh/0279_nh.bmp
82.08	0.72	105	2	1	48	mem	con	mod	mod	low	tg	ms	wh/0131.bmp
82.80	0.72	106	1	1	120	mem	lib	mod	mod	low	tg	ht	wh/0683.bmp
83.52	0.72	107	1	4	100	mem	con	mod	mod	low	nt	ht	nh/0007_nh.bmp
84.24	0.72	108	3	1	121	mem	lib	mod	mod	low	tg	ht	wh/0976.bmp
84.96	0.72	109	1	2	82	mem	lib	mod	mod	mod	nt	ht	nh/0834_nh.bmp
85.68	0.72	110	1	1	103	mem	con	low	low	low	tg	ms	wh/0242.bmp
86.40	0.72	111	2	3	81	mem	con	mod	mod	mod	tg	ht	wh/0071.bmp
87.12	0.72	112	1	3	71	mem	lib	low	low	mod	nt	ht	nh/0050_nh.bmp
87.84	0.72	113	1	1	80	per	lib	low	low	low	tg	ms	wh/0808.bmp
88.56	0.72	114	1	4	93	per	lib	mod	mod	mod	nt	cr	nh/0331_nh.bmp
89.28	0.72	115	3	3	116	per	con	low	mod	low	nt	cr	nh/0765_nh.bmp
90.00	0.72	116	1	4	118	mem	lib	mod	mod	mod	tg	ms	wh/0983.bmp
90.72	0.72	117	1	1	127	mem	lib	mod	mod	low	nt	ht	nh/0174_nh.bmp
91.44	0.72	118	4	1	121	mem	lib	mod	mod	low	tg	ht	wh/0976.bmp
92.16	0.72	119	2	2	113	per	lib	low	mod	low	nt	cr	nh/0400_nh.bmp
