onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	7	120	mem	con	mod	mod	mod	nt	ms	nh/0542_nh.bmp
7.92	0.72	2	1	6	75	mem	lib	mod	mod	low	tg	ht	wh/0345.bmp
8.64	0.72	3	1	8	96	mem	lib	mod	mod	low	nt	ms	nh/0351_nh.bmp
9.36	0.72	4	1	5	122	per	lib	mod	mod	mod	nt	cr	nh/0462_nh.bmp
10.08	0.72	5	1	7	126	mem	con	mod	mod	mod	nt	ht	nh/0594_nh.bmp
10.80	0.72	6	1	7	26	mem	lib	mod	mod	mod	nt	ht	nh/0319_nh.bmp
11.52	0.72	7	1	6	104	per	con	mod	mod	mod	tg	ht	wh/0946.bmp
12.24	0.72	8	1	8	8	per	con	low	mod	low	nt	cr	nh/0082_nh.bmp
12.96	0.72	9	1	7	29	mem	lib	mod	mod	mod	nt	n/a	nh/0187_nh.bmp
13.68	0.72	10	1	8	25	per	lib	low	mod	low	nt	cr	nh/0190_nh.bmp
14.40	0.72	11	1	7	83	per	con	mod	mod	mod	nt	cr	nh/0591_nh.bmp
15.12	0.72	12	1	6	19	per	lib	low	mod	low	nt	cr	nh/0029_nh.bmp
15.84	0.72	13	1	7	128	mem	con	mod	mod	mod	tg	ms	wh/0714.bmp
16.56	0.72	14	1	5	109	mem	con	mod	mod	low	nt	ht	nh/0036_nh.bmp
17.28	0.72	15	2	6	75	mem	lib	mod	mod	low	tg	ht	wh/0345.bmp
18.00	0.72	16	1	6	105	per	con	mod	mod	mod	tg	ht	wh/0962.bmp
18.72	0.72	17	1	6	54	per	con	low	mod	low	tg	ms	wh/0417.bmp
19.44	0.72	18	1	8	30	per	lib	low	mod	low	tg	ms	wh/0238.bmp
20.16	0.72	19	1	6	99	per	con	mod	mod	mod	nt	cr	nh/0339_nh.bmp
20.88	0.72	20	1	8	94	mem	lib	mod	mod	low	nt	ht	nh/0758_nh.bmp
21.60	0.72	21	1	8	15	per	con	low	mod	low	nt	cr	nh/0964_nh.bmp
22.32	0.72	22	1	7	104	per	con	low	low	low	nt	cr	nh/0266_nh.bmp
23.04	0.72	23	1	6	25	per	lib	low	mod	low	nt	cr	nh/0489_nh.bmp
23.76	0.72	24	1	6	101	per	con	mod	mod	mod	tg	ms	wh/0957.bmp
24.48	0.72	25	2	6	104	per	con	mod	mod	mod	tg	ht	wh/0946.bmp
25.20	0.72	26	1	8	10	per	con	low	mod	low	nt	cr	nh/0635_nh.bmp
25.92	0.72	27	3	6	75	mem	lib	mod	mod	low	tg	ht	wh/0345.bmp
26.64	0.72	28	2	7	120	mem	con	mod	mod	mod	nt	ms	nh/0542_nh.bmp
27.36	0.72	29	1	7	125	mem	con	mod	mod	mod	tg	ms	wh/0196.bmp
