onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	4	114	mem	lib	mod	mod	low	nt	ht	nh/0454_nh.bmp
7.92	0.72	2	1	1	17	mem	con	mod	mod	mod	nt	ms	nh/0137_nh.bmp
8.64	0.72	3	1	4	84	per	con	low	low	low	tg	ht	wh/0500.bmp
9.36	0.72	4	1	2	46	mem	con	mod	mod	low	tg	ms	wh/0438.bmp
10.08	0.72	5	1	3	104	mem	con	mod	mod	mod	nt	ms	nh/0448_nh.bmp
10.80	0.72	6	1	2	47	mem	con	mod	mod	low	nt	ht	nh/0293_nh.bmp
11.52	0.72	7	1	1	31	mem	con	mod	mod	mod	nt	ms	nh/0738_nh.bmp
12.24	0.72	8	1	1	24	mem	con	mod	mod	mod	nt	ht	nh/0796_nh.bmp
12.96	0.72	9	1	4	54	per	con	mod	mod	mod	tg	ms	wh/0753.bmp
13.68	0.72	10	1	2	32	mem	lib	low	low	low	tg	ht	wh/0911.bmp
14.40	0.72	11	1	2	4	per	con	mod	mod	mod	nt	cr	nh/0742_nh.bmp
15.12	0.72	12	1	2	66	per	lib	mod	mod	mod	tg	ht	wh/0674.bmp
15.84	0.72	13	1	2	33	mem	con	mod	mod	low	tg	ms	wh/0554.bmp
16.56	0.72	14	1	2	9	per	con	mod	mod	mod	nt	cr	nh/0071_nh.bmp
17.28	0.72	15	1	4	27	per	lib	low	mod	low	tg	ht	wh/0757.bmp
18.00	0.72	16	1	3	85	per	lib	mod	mod	mod	tg	ht	wh/0759.bmp
18.72	0.72	17	1	4	63	per	con	mod	mod	mod	nt	cr	nh/0538_nh.bmp
19.44	0.72	18	1	1	2	mem	con	low	low	mod	nt	n/a	nh/0062_nh.bmp
20.16	0.72	19	1	1	89	mem	lib	mod	mod	low	tg	ht	wh/0259.bmp
20.88	0.72	20	1	2	42	mem	con	mod	mod	low	tg	ht	wh/0765.bmp
21.60	0.72	21	1	2	125	mem	lib	mod	mod	mod	nt	ht	nh/0333_nh.bmp
22.32	0.72	22	2	4	54	per	con	mod	mod	mod	tg	ms	wh/0753.bmp
23.04	0.72	23	1	2	15	per	con	mod	mod	mod	nt	cr	nh/0901_nh.bmp
23.76	0.72	24	1	3	127	mem	con	low	low	low	nt	ms	nh/0356_nh.bmp
24.48	0.72	25	1	2	81	per	con	low	mod	low	tg	ms	wh/0494.bmp
25.20	0.72	26	1	3	23	mem	lib	low	low	low	nt	ms	nh/0808_nh.bmp
25.92	0.72	27	1	3	101	mem	con	mod	mod	mod	tg	ms	wh/0479.bmp
26.64	0.72	28	1	2	113	mem	lib	mod	mod	mod	nt	ht	nh/0562_nh.bmp
27.36	0.72	29	2	4	63	per	con	mod	mod	mod	nt	cr	nh/0538_nh.bmp
28.08	0.72	30	2	1	24	mem	con	mod	mod	mod	nt	ht	nh/0796_nh.bmp
28.80	0.72	31	2	2	113	mem	lib	mod	mod	mod	nt	ht	nh/0562_nh.bmp
29.52	0.72	32	1	4	69	per	lib	mod	low	mod	tg	ht	wh/0872.bmp
30.24	0.72	33	1	4	94	per	con	low	low	low	tg	ms	wh/0713.bmp
