onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	75	per	con	mod	low	mod	nt	cr	nh/0873_nh.bmp
7.92	0.72	2	1	2	28	per	lib	mod	mod	mod	nt	n/a	nh/0098_nh.bmp
8.64	0.72	3	1	3	47	per	con	low	mod	low	tg	ms	wh/0727.bmp
9.36	0.72	4	1	3	120	mem	lib	low	low	low	tg	ms	wh/0996.bmp
10.08	0.72	5	1	1	2	mem	con	mod	mod	mod	tg	n/a	wh/0425.bmp
10.80	0.72	6	1	3	38	per	con	low	mod	low	nt	n/a	nh/0168_nh.bmp
11.52	0.72	7	1	3	87	per	lib	mod	mod	mod	nt	cr	nh/0183_nh.bmp
12.24	0.72	8	1	4	60	mem	con	mod	mod	low	tg	ht	wh/0515.bmp
12.96	0.72	9	1	2	123	per	con	low	mod	low	nt	cr	nh/0231_nh.bmp
13.68	0.72	10	1	2	100	mem	con	mod	mod	low	tg	ms	wh/0816.bmp
14.40	0.72	11	1	2	94	mem	lib	mod	mod	low	tg	ht	wh/0341.bmp
15.12	0.72	12	1	1	51	per	lib	mod	low	mod	nt	cr	nh/0844_nh.bmp
15.84	0.72	13	1	4	25	per	con	mod	mod	mod	nt	cr	nh/0405_nh.bmp
16.56	0.72	14	1	1	63	per	lib	mod	low	mod	tg	ht	wh/0332.bmp
17.28	0.72	15	1	2	109	mem	con	mod	mod	low	tg	ht	wh/0066.bmp
18.00	0.72	16	1	3	82	per	lib	mod	mod	mod	tg	ht	wh/0679.bmp
18.72	0.72	17	1	2	59	mem	lib	low	low	low	tg	ms	wh/0142.bmp
19.44	0.72	18	1	1	105	mem	lib	mod	mod	mod	tg	ht	wh/0878.bmp
20.16	0.72	19	1	3	25	per	lib	low	low	low	tg	ht	wh/0141.bmp
20.88	0.72	20	1	3	74	mem	con	mod	mod	mod	nt	ht	nh/0841_nh.bmp
21.60	0.72	21	1	2	118	per	con	low	mod	low	tg	ht	wh/0745.bmp
22.32	0.72	22	1	2	92	mem	lib	mod	mod	low	tg	ht	wh/0421.bmp
23.04	0.72	23	2	1	2	mem	con	mod	mod	mod	tg	n/a	wh/0425.bmp
23.76	0.72	24	1	1	73	per	lib	low	mod	low	nt	fa	nh/0251_nh.bmp
24.48	0.72	25	1	1	41	per	con	mod	mod	mod	tg	ht	wh/0391.bmp
25.20	0.72	26	1	4	52	mem	con	mod	mod	low	tg	ht	wh/0133.bmp
25.92	0.72	27	1	4	62	mem	con	mod	mod	low	tg	ht	wh/0155.bmp
26.64	0.72	28	1	4	118	per	lib	low	mod	low	nt	fa	nh/0105_nh.bmp
27.36	0.72	29	1	3	78	mem	con	mod	mod	mod	nt	ht	nh/0585_nh.bmp
28.08	0.72	30	1	3	71	mem	con	mod	mod	mod	tg	ht	wh/0463.bmp
28.80	0.72	31	1	1	38	per	con	mod	mod	mod	nt	cr	nh/0681_nh.bmp
29.52	0.72	32	1	4	29	per	con	mod	mod	mod	nt	cr	nh/0775_nh.bmp
30.24	0.72	33	1	4	28	per	con	mod	mod	mod	tg	ht	wh/0393.bmp
30.96	0.72	34	1	1	9	mem	con	mod	mod	mod	nt	ht	nh/0984_nh.bmp
31.68	0.72	35	1	2	107	mem	con	mod	mod	low	tg	ht	wh/0128.bmp
