onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	3	10	mem	lib	mod	mod	low	tg	ht	wh/1021.bmp
7.92	0.72	2	1	4	35	per	con	mod	mod	mod	tg	ht	wh/0596.bmp
8.64	0.72	3	1	1	76	per	con	mod	mod	mod	tg	ht	wh/0287.bmp
9.36	0.72	4	1	3	62	mem	con	mod	mod	low	nt	ht	nh/0105_nh.bmp
10.08	0.72	5	1	3	83	per	lib	mod	low	mod	tg	ht	wh/0087.bmp
10.80	0.72	6	1	4	39	per	con	mod	mod	mod	nt	cr	nh/0724_nh.bmp
11.52	0.72	7	1	3	52	mem	con	mod	mod	low	tg	ms	wh/0897.bmp
12.24	0.72	8	1	1	35	per	lib	low	mod	low	tg	ms	wh/0066.bmp
12.96	0.72	9	1	1	52	mem	con	low	low	mod	nt	n/a	nh/0844_nh.bmp
13.68	0.72	10	1	3	3	mem	lib	mod	mod	low	nt	ht	nh/0455_nh.bmp
14.40	0.72	11	1	2	94	per	lib	mod	mod	mod	nt	cr	nh/0896_nh.bmp
15.12	0.72	12	1	3	51	mem	con	mod	mod	low	tg	ht	wh/0298.bmp
15.84	0.72	13	1	1	126	per	con	low	mod	low	tg	ms	wh/0733.bmp
16.56	0.72	14	1	1	3	mem	con	mod	mod	low	nt	ht	nh/0836_nh.bmp
17.28	0.72	15	1	2	14	mem	con	mod	mod	mod	nt	ht	nh/0098_nh.bmp
18.00	0.72	16	1	4	30	mem	con	mod	mod	mod	tg	ms	wh/0942.bmp
18.72	0.72	17	1	4	127	mem	lib	mod	mod	mod	tg	ht	wh/0017.bmp
19.44	0.72	18	1	2	43	per	con	low	low	low	tg	ms	wh/0142.bmp
20.16	0.72	19	1	4	117	mem	lib	mod	mod	mod	nt	ms	nh/0274_nh.bmp
20.88	0.72	20	1	3	49	mem	con	mod	mod	low	tg	ht	wh/0704.bmp
21.60	0.72	21	2	4	30	mem	con	mod	mod	mod	tg	ms	wh/0942.bmp
22.32	0.72	22	1	1	5	mem	con	mod	mod	low	nt	ht	nh/0251_nh.bmp
23.04	0.72	23	1	4	124	mem	lib	mod	mod	mod	nt	ht	nh/0405_nh.bmp
23.76	0.72	24	1	3	34	per	con	mod	low	mod	tg	ms	wh/0527.bmp
24.48	0.72	25	1	4	81	per	lib	mod	mod	mod	nt	fa	nh/0204_nh.bmp
25.20	0.72	26	1	1	40	per	lib	low	mod	low	tg	ht	wh/0128.bmp
25.92	0.72	27	1	4	31	mem	con	mod	mod	mod	tg	ms	wh/0884.bmp
26.64	0.72	28	1	1	2	mem	con	mod	mod	low	tg	n/a	wh/0769.bmp
27.36	0.72	29	1	2	50	mem	lib	mod	mod	mod	nt	ht	nh/0681_nh.bmp
28.08	0.72	30	1	4	36	per	con	mod	mod	mod	nt	cr	nh/0920_nh.bmp
28.80	0.72	31	2	1	76	per	con	mod	mod	mod	tg	ht	wh/0287.bmp
29.52	0.72	32	1	1	33	per	lib	low	mod	low	nt	fa	nh/0597_nh.bmp
30.24	0.72	33	1	1	124	per	con	low	mod	low	nt	fa	nh/0739_nh.bmp
30.96	0.72	34	1	4	118	mem	lib	mod	mod	mod	tg	ht	wh/0975.bmp
31.68	0.72	35	1	2	70	mem	con	low	low	low	nt	ms	nh/0788_nh.bmp
32.40	0.72	36	1	4	61	per	con	low	mod	low	tg	ht	wh/0926.bmp
33.12	0.72	37	1	1	122	per	con	low	mod	low	tg	ms	wh/0868.bmp
33.84	0.72	38	1	2	92	per	lib	mod	mod	mod	nt	fa	nh/0984_nh.bmp
34.56	0.72	39	2	1	122	per	con	low	mod	low	tg	ms	wh/0868.bmp
35.28	0.72	40	1	3	7	mem	lib	mod	mod	low	nt	ht	nh/0168_nh.bmp
36.00	0.72	41	1	3	12	mem	lib	mod	mod	low	nt	ht	nh/0205_nh.bmp
36.72	0.72	42	1	1	77	per	con	mod	mod	mod	tg	ht	wh/0847.bmp
37.44	0.72	43	1	1	70	per	con	mod	mod	mod	tg	ms	wh/0580.bmp
38.16	0.72	44	1	4	83	per	lib	mod	mod	mod	tg	ht	wh/0965.bmp
38.88	0.72	45	1	2	95	per	lib	mod	mod	mod	nt	fa	nh/0642_nh.bmp
39.60	0.72	46	1	1	12	mem	con	mod	mod	low	tg	ht	wh/0573.bmp
40.32	0.72	47	1	1	31	mem	lib	mod	mod	low	nt	ht	nh/0145_nh.bmp
41.04	0.72	48	1	4	84	per	lib	mod	mod	mod	nt	cr	nh/0841_nh.bmp
41.76	0.72	49	1	4	78	per	lib	low	mod	low	tg	ht	wh/0515.bmp
42.48	0.72	50	1	1	114	per	con	low	mod	low	tg	ms	wh/0341.bmp
43.20	0.72	51	1	1	43	per	lib	low	mod	low	nt	fa	nh/0019_nh.bmp
43.92	0.72	52	2	1	35	per	lib	low	mod	low	tg	ms	wh/0066.bmp
44.64	0.72	53	1	4	69	per	lib	low	mod	low	tg	ht	wh/0155.bmp
45.36	0.72	54	1	1	4	mem	con	mod	mod	low	tg	ht	wh/0472.bmp
46.08	0.72	55	1	2	127	per	con	mod	low	mod	nt	cr	nh/0912_nh.bmp
46.80	0.72	56	2	4	31	mem	con	mod	mod	mod	tg	ms	wh/0884.bmp
47.52	0.72	57	1	3	35	per	con	mod	low	mod	tg	ht	wh/0272.bmp
48.24	0.72	58	1	2	15	mem	con	mod	mod	mod	nt	ms	nh/0429_nh.bmp
48.96	0.72	59	1	4	44	per	con	mod	mod	mod	nt	fa	nh/0002_nh.bmp
49.68	0.72	60	1	1	22	mem	lib	mod	mod	low	tg	ht	wh/0766.bmp
50.40	0.72	61	1	3	53	mem	con	mod	mod	low	nt	ht	nh/0265_nh.bmp
51.12	0.72	62	2	4	118	mem	lib	mod	mod	mod	tg	ht	wh/0975.bmp
51.84	0.72	63	1	2	93	per	lib	mod	mod	mod	tg	ms	wh/0425.bmp
52.56	0.72	64	1	1	20	mem	lib	mod	mod	low	nt	ht	nh/0325_nh.bmp
53.28	0.72	65	1	2	63	mem	lib	mod	mod	mod	nt	ht	nh/0466_nh.bmp
54.00	0.72	66	1	3	76	per	con	low	low	low	nt	fa	nh/0979_nh.bmp
54.72	0.72	67	1	4	114	mem	lib	mod	mod	mod	nt	ht	nh/0189_nh.bmp
55.44	0.72	68	1	1	119	per	con	low	mod	low	tg	ms	wh/0421.bmp
56.16	0.72	69	1	4	45	per	con	mod	mod	mod	tg	ht	wh/0600.bmp
56.88	0.72	70	2	1	22	mem	lib	mod	mod	low	tg	ht	wh/0766.bmp
