onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	4	63	mem	lib	mod	mod	low	tg	ht	wh/0386.bmp
7.92	0.72	2	1	3	95	mem	con	low	low	low	nt	ms	nh/0363_nh.bmp
8.64	0.72	3	1	3	31	per	con	mod	mod	mod	tg	ht	wh/0925.bmp
9.36	0.72	4	1	2	59	mem	con	mod	mod	low	nt	ms	nh/0390_nh.bmp
10.08	0.72	5	1	2	45	per	con	low	mod	low	tg	ms	wh/0315.bmp
10.80	0.72	6	1	4	105	per	con	low	mod	low	tg	ms	wh/0554.bmp
11.52	0.72	7	1	2	2	per	lib	mod	mod	mod	nt	cr	nh/0365_nh.bmp
12.24	0.72	8	1	2	15	per	lib	mod	mod	mod	tg	ms	wh/0072.bmp
12.96	0.72	9	1	3	16	mem	lib	mod	mod	mod	nt	ht	nh/0983_nh.bmp
13.68	0.72	10	1	2	13	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
14.40	0.72	11	1	3	47	mem	con	mod	mod	low	tg	ms	wh/0494.bmp
15.12	0.72	12	1	2	104	per	lib	low	mod	low	nt	fa	nh/0132_nh.bmp
15.84	0.72	13	1	2	99	per	lib	low	mod	low	tg	ms	wh/0283.bmp
16.56	0.72	14	1	1	119	mem	lib	mod	mod	low	nt	ht	nh/0792_nh.bmp
17.28	0.72	15	1	2	103	per	lib	low	mod	low	tg	ms	wh/1000.bmp
18.00	0.72	16	1	2	48	per	con	low	mod	low	nt	cr	nh/0166_nh.bmp
18.72	0.72	17	1	4	83	per	con	mod	low	mod	nt	cr	nh/0062_nh.bmp
19.44	0.72	18	1	4	50	mem	lib	mod	mod	low	tg	ht	wh/0203.bmp
20.16	0.72	19	1	4	51	mem	lib	mod	mod	low	nt	ht	nh/0124_nh.bmp
20.88	0.72	20	1	2	124	mem	lib	mod	mod	mod	nt	ht	nh/0861_nh.bmp
21.60	0.72	21	2	2	59	mem	con	mod	mod	low	nt	ms	nh/0390_nh.bmp
22.32	0.72	22	1	3	64	per	lib	low	mod	low	tg	ht	wh/0672.bmp
23.04	0.72	23	1	3	11	mem	lib	mod	mod	mod	tg	ht	wh/0970.bmp
23.76	0.72	24	1	2	34	per	con	low	mod	low	tg	ms	wh/0575.bmp
