onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	79	mem	con	mod	mod	low	tg	ht	wh/0081.bmp
7.92	0.72	2	1	4	89	mem	con	mod	mod	low	tg	ms	wh/0914.bmp
8.64	0.72	3	1	1	5	mem	lib	low	low	mod	tg	ms	wh/0667.bmp
9.36	0.72	4	1	3	65	per	con	low	low	low	tg	ms	wh/0908.bmp
10.08	0.72	5	1	2	2	per	con	low	mod	low	tg	ms	wh/0236.bmp
10.80	0.72	6	1	2	20	per	lib	mod	low	mod	tg	ht	wh/0214.bmp
11.52	0.72	7	1	4	20	per	con	low	mod	low	tg	ms	wh/0007.bmp
12.24	0.72	8	1	4	11	per	lib	low	mod	low	tg	ht	wh/0386.bmp
12.96	0.72	9	1	3	84	mem	lib	low	low	low	tg	ht	wh/0911.bmp
13.68	0.72	10	2	4	20	per	con	low	mod	low	tg	ms	wh/0007.bmp
14.40	0.72	11	1	2	67	mem	con	mod	mod	low	nt	ms	nh/0166_nh.bmp
15.12	0.72	12	1	2	39	per	con	mod	mod	mod	tg	ht	wh/0490.bmp
15.84	0.72	13	1	3	5	per	lib	mod	mod	mod	nt	cr	nh/0104_nh.bmp
16.56	0.72	14	1	1	9	mem	lib	low	low	mod	nt	ms	nh/0557_nh.bmp
17.28	0.72	15	2	3	5	per	lib	mod	mod	mod	nt	cr	nh/0104_nh.bmp
18.00	0.72	16	1	4	125	per	con	mod	mod	mod	tg	ht	wh/1010.bmp
18.72	0.72	17	1	2	82	per	lib	low	mod	low	tg	ht	wh/0757.bmp
19.44	0.72	18	1	4	67	mem	con	low	low	low	nt	ms	nh/0357_nh.bmp
20.16	0.72	19	1	2	7	per	con	low	mod	low	nt	cr	nh/0523_nh.bmp
20.88	0.72	20	1	2	118	mem	con	low	low	mod	nt	ms	nh/0317_nh.bmp
21.60	0.72	21	1	4	69	mem	con	low	low	low	tg	ht	wh/0250.bmp
22.32	0.72	22	1	2	1	per	con	low	mod	low	tg	ms	wh/0615.bmp
23.04	0.72	23	1	4	60	mem	lib	mod	mod	mod	nt	ht	nh/0799_nh.bmp
23.76	0.72	24	1	1	123	per	lib	low	low	low	tg	ms	wh/0021.bmp
24.48	0.72	25	1	1	108	mem	lib	mod	mod	low	tg	ms	wh/0283.bmp
25.20	0.72	26	1	2	22	per	lib	mod	low	mod	nt	cr	nh/0230_nh.bmp
25.92	0.72	27	3	3	5	per	lib	mod	mod	mod	nt	cr	nh/0104_nh.bmp
26.64	0.72	28	1	2	5	per	con	low	mod	low	tg	ms	wh/0424.bmp
27.36	0.72	29	1	1	48	per	lib	mod	mod	mod	tg	ht	wh/0834.bmp
28.08	0.72	30	1	4	26	per	con	low	mod	low	nt	cr	nh/0312_nh.bmp
28.80	0.72	31	1	4	127	per	con	mod	mod	mod	nt	cr	nh/0742_nh.bmp
29.52	0.72	32	1	2	95	per	lib	low	mod	low	nt	cr	nh/0976_nh.bmp
