onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	71	per	lib	mod	mod	mod	tg	ms	wh/0975.bmp
7.92	0.72	2	1	1	66	per	lib	mod	mod	mod	nt	fa	nh/0189_nh.bmp
8.64	0.72	3	1	4	122	mem	lib	mod	mod	mod	nt	ms	nh/0935_nh.bmp
9.36	0.72	4	1	2	29	mem	lib	mod	mod	mod	tg	ht	wh/0463.bmp
10.08	0.72	5	1	1	42	per	con	mod	mod	mod	tg	ms	wh/0637.bmp
10.80	0.72	6	1	4	101	mem	con	mod	mod	low	tg	ms	wh/0868.bmp
11.52	0.72	7	1	1	61	per	lib	low	mod	low	tg	ht	wh/1021.bmp
12.24	0.72	8	1	3	113	mem	con	mod	mod	mod	nt	ht	nh/0857_nh.bmp
12.96	0.72	9	1	4	42	mem	lib	low	low	mod	nt	ht	nh/0303_nh.bmp
13.68	0.72	10	1	1	101	mem	lib	mod	mod	low	tg	ht	wh/0515.bmp
14.40	0.72	11	1	4	70	per	con	mod	mod	mod	nt	cr	nh/0098_nh.bmp
15.12	0.72	12	1	1	69	per	lib	mod	mod	mod	nt	cr	nh/0405_nh.bmp
15.84	0.72	13	1	1	44	per	con	mod	mod	mod	nt	cr	nh/0750_nh.bmp
16.56	0.72	14	1	1	39	per	con	mod	mod	mod	tg	ht	wh/0884.bmp
17.28	0.72	15	1	2	106	mem	lib	low	low	low	nt	ht	nh/0411_nh.bmp
18.00	0.72	16	1	3	127	mem	con	mod	mod	mod	tg	ms	wh/0878.bmp
18.72	0.72	17	1	1	77	per	lib	mod	mod	mod	nt	cr	nh/0775_nh.bmp
19.44	0.72	18	1	1	70	per	lib	mod	mod	mod	tg	ht	wh/0393.bmp
20.16	0.72	19	1	1	22	mem	con	low	low	low	tg	ms	wh/0330.bmp
20.88	0.72	20	1	3	63	mem	lib	mod	mod	low	nt	ht	nh/0597_nh.bmp
21.60	0.72	21	1	3	26	per	lib	low	mod	low	nt	fa	nh/0325_nh.bmp
22.32	0.72	22	1	2	33	mem	con	mod	mod	low	nt	ms	nh/0040_nh.bmp
23.04	0.72	23	1	1	99	mem	lib	mod	mod	low	tg	ht	wh/0133.bmp
23.76	0.72	24	1	3	67	per	lib	mod	mod	mod	tg	ms	wh/0414.bmp
24.48	0.72	25	1	1	98	mem	lib	mod	mod	low	tg	ht	wh/0155.bmp
25.20	0.72	26	1	3	88	per	con	low	mod	low	nt	cr	nh/0233_nh.bmp
25.92	0.72	27	1	1	102	mem	lib	mod	mod	low	nt	ht	nh/0031_nh.bmp
26.64	0.72	28	1	4	74	per	con	mod	mod	mod	nt	cr	nh/0627_nh.bmp
27.36	0.72	29	1	2	58	per	con	low	mod	low	nt	cr	nh/0648_nh.bmp
28.08	0.72	30	1	2	62	per	con	low	mod	low	nt	cr	nh/0265_nh.bmp
28.80	0.72	31	1	3	96	per	con	low	mod	low	tg	ms	wh/0769.bmp
29.52	0.72	32	1	1	2	mem	con	mod	mod	mod	nt	ht	nh/0526_nh.bmp
30.24	0.72	33	1	1	94	mem	lib	low	low	mod	tg	ht	wh/0324.bmp
30.96	0.72	34	1	1	37	per	con	mod	mod	mod	tg	ms	wh/0942.bmp
31.68	0.72	35	1	1	4	mem	con	mod	mod	mod	tg	ht	wh/0879.bmp
32.40	0.72	36	1	4	102	mem	con	mod	mod	low	tg	ms	wh/0733.bmp
33.12	0.72	37	1	2	20	mem	lib	mod	mod	mod	nt	ht	nh/0585_nh.bmp
33.84	0.72	38	2	1	39	per	con	mod	mod	mod	tg	ht	wh/0884.bmp
34.56	0.72	39	1	4	123	mem	lib	mod	mod	mod	tg	ht	wh/0425.bmp
35.28	0.72	40	1	1	75	per	lib	mod	mod	mod	nt	fa	nh/0274_nh.bmp
36.00	0.72	41	1	4	85	per	con	low	low	low	tg	ms	wh/0257.bmp
36.72	0.72	42	1	4	116	mem	lib	mod	mod	mod	nt	ht	nh/0642_nh.bmp
37.44	0.72	43	1	3	125	mem	con	mod	mod	mod	nt	ht	nh/0919_nh.bmp
38.16	0.72	44	2	3	63	mem	lib	mod	mod	low	nt	ht	nh/0597_nh.bmp
38.88	0.72	45	2	1	44	per	con	mod	mod	mod	nt	cr	nh/0750_nh.bmp
