onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	1	per	con	mod	mod	mod	nt	cr	nh/0674_nh.bmp
7.92	0.72	2	1	1	43	mem	lib	mod	mod	low	nt	ht	nh/0554_nh.bmp
8.64	0.72	3	1	2	73	mem	lib	mod	mod	mod	nt	ht	nh/0665_nh.bmp
9.36	0.72	4	1	3	61	per	lib	mod	mod	mod	tg	ht	wh/0343.bmp
10.08	0.72	5	1	2	71	mem	lib	mod	mod	mod	tg	ms	wh/0738.bmp
10.80	0.72	6	1	4	8	per	lib	mod	low	mod	nt	cr	nh/0409_nh.bmp
11.52	0.72	7	1	1	12	per	con	mod	mod	mod	tg	ms	wh/0104.bmp
12.24	0.72	8	1	4	45	per	con	mod	mod	mod	tg	ms	wh/0861.bmp
12.96	0.72	9	1	2	68	mem	lib	mod	mod	mod	tg	ms	wh/0961.bmp
13.68	0.72	10	1	4	53	mem	lib	mod	mod	low	tg	ht	wh/0410.bmp
14.40	0.72	11	1	3	87	mem	lib	mod	mod	mod	tg	ht	wh/0895.bmp
15.12	0.72	12	1	3	91	mem	lib	mod	mod	mod	nt	ht	nh/0806_nh.bmp
15.84	0.72	13	1	1	33	mem	lib	mod	mod	low	tg	ht	wh/0293.bmp
16.56	0.72	14	1	4	80	mem	con	mod	mod	mod	tg	ms	wh/0931.bmp
17.28	0.72	15	1	3	92	mem	lib	mod	mod	mod	nt	ht	nh/0592_nh.bmp
18.00	0.72	16	1	3	113	per	lib	low	low	low	tg	ms	wh/0242.bmp
18.72	0.72	17	1	1	25	per	lib	mod	mod	mod	nt	cr	nh/0576_nh.bmp
19.44	0.72	18	2	4	53	mem	lib	mod	mod	low	tg	ht	wh/0410.bmp
20.16	0.72	19	1	3	48	mem	con	mod	mod	low	nt	ms	nh/0195_nh.bmp
20.88	0.72	20	1	4	81	per	lib	low	mod	low	nt	fa	nh/0798_nh.bmp
21.60	0.72	21	2	4	80	mem	con	mod	mod	mod	tg	ms	wh/0931.bmp
22.32	0.72	22	1	2	34	per	con	low	mod	low	nt	cr	nh/0203_nh.bmp
23.04	0.72	23	1	1	89	mem	con	low	low	low	nt	ms	nh/0309_nh.bmp
23.76	0.72	24	1	2	41	per	con	low	mod	low	tg	ms	wh/0511.bmp
24.48	0.72	25	1	4	49	mem	lib	mod	mod	low	tg	ht	wh/0030.bmp
25.20	0.72	26	1	4	46	per	con	mod	mod	mod	tg	ht	wh/0477.bmp
25.92	0.72	27	1	2	85	per	lib	low	mod	low	nt	fa	nh/1013_nh.bmp
26.64	0.72	28	1	2	59	mem	con	low	low	mod	tg	ms	wh/0069.bmp
