onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	7	18	per	lib	mod	mod	mod	tg	ht	wh/0795.bmp
7.92	0.72	2	1	7	26	per	lib	mod	mod	mod	nt	fa	nh/0398_nh.bmp
8.64	0.72	3	1	5	85	per	con	low	mod	low	nt	cr	nh/0489_nh.bmp
9.36	0.72	4	1	5	99	per	lib	mod	mod	mod	nt	cr	nh/0339_nh.bmp
10.08	0.72	5	2	5	99	per	lib	mod	mod	mod	nt	cr	nh/0339_nh.bmp
10.80	0.72	6	1	7	102	mem	con	mod	mod	low	tg	ms	wh/0404.bmp
11.52	0.72	7	1	7	125	per	lib	low	mod	low	tg	ht	wh/0123.bmp
12.24	0.72	8	1	5	22	mem	con	mod	mod	low	tg	n/a	wh/0510.bmp
12.96	0.72	9	1	8	124	per	con	low	mod	low	tg	ht	wh/0238.bmp
13.68	0.72	10	1	7	105	mem	con	mod	mod	low	nt	ms	nh/0351_nh.bmp
14.40	0.72	11	1	5	23	mem	con	mod	mod	low	nt	ht	nh/0382_nh.bmp
15.12	0.72	12	1	7	25	per	lib	mod	mod	mod	tg	ht	wh/0684.bmp
15.84	0.72	13	1	6	103	mem	lib	mod	mod	low	nt	ht	nh/0077_nh.bmp
16.56	0.72	14	1	7	49	mem	lib	mod	mod	low	nt	ht	nh/0940_nh.bmp
17.28	0.72	15	2	7	105	mem	con	mod	mod	low	nt	ms	nh/0351_nh.bmp
18.00	0.72	16	1	6	1	mem	lib	low	low	low	tg	ht	wh/1009.bmp
18.72	0.72	17	1	7	59	mem	lib	mod	mod	low	nt	ht	nh/0646_nh.bmp
19.44	0.72	18	1	8	128	per	con	low	mod	low	tg	ms	wh/0125.bmp
20.16	0.72	19	1	5	71	per	lib	low	mod	low	tg	ht	wh/0417.bmp
20.88	0.72	20	1	7	120	per	lib	low	mod	low	nt	fa	nh/0082_nh.bmp
21.60	0.72	21	1	5	110	per	lib	mod	mod	mod	nt	cr	nh/0593_nh.bmp
22.32	0.72	22	1	7	72	per	con	low	low	low	tg	ms	wh/0483.bmp
23.04	0.72	23	1	7	115	per	lib	low	mod	low	nt	fa	nh/0635_nh.bmp
