onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	8	87	mem	con	mod	mod	low	tg	ms	wh/0401.bmp
7.92	0.72	2	1	6	57	mem	con	mod	mod	mod	nt	ms	nh/0337_nh.bmp
8.64	0.72	3	1	8	13	per	con	mod	mod	mod	nt	cr	nh/0590_nh.bmp
9.36	0.72	4	1	7	53	per	lib	low	mod	low	tg	ht	wh/0172.bmp
10.08	0.72	5	1	5	13	mem	con	mod	mod	low	tg	ms	wh/0073.bmp
10.80	0.72	6	1	8	1	per	con	mod	mod	mod	tg	ht	wh/0666.bmp
11.52	0.72	7	1	7	89	per	lib	mod	mod	mod	nt	cr	nh/0852_nh.bmp
12.24	0.72	8	1	5	26	per	con	mod	mod	mod	tg	ht	wh/0556.bmp
12.96	0.72	9	1	8	14	per	con	mod	mod	mod	tg	ht	wh/0638.bmp
13.68	0.72	10	1	8	41	mem	lib	mod	mod	low	tg	ht	wh/0253.bmp
14.40	0.72	11	1	5	32	per	con	mod	mod	mod	tg	ht	wh/0603.bmp
15.12	0.72	12	1	6	84	mem	lib	mod	mod	mod	tg	ht	wh/0871.bmp
15.84	0.72	13	1	8	81	mem	con	mod	mod	low	tg	ht	wh/0756.bmp
16.56	0.72	14	1	6	91	mem	lib	mod	mod	mod	nt	ms	nh/0495_nh.bmp
17.28	0.72	15	1	7	38	mem	con	mod	mod	mod	tg	ms	wh/0399.bmp
18.00	0.72	16	2	7	89	per	lib	mod	mod	mod	nt	cr	nh/0852_nh.bmp
18.72	0.72	17	3	7	89	per	lib	mod	mod	mod	nt	cr	nh/0852_nh.bmp
19.44	0.72	18	1	8	93	mem	con	mod	mod	low	nt	ms	nh/0176_nh.bmp
20.16	0.72	19	1	5	10	mem	con	mod	mod	low	nt	ms	nh/0241_nh.bmp
20.88	0.72	20	1	7	20	mem	lib	mod	mod	mod	nt	ht	nh/0888_nh.bmp
21.60	0.72	21	1	8	46	mem	lib	mod	mod	low	nt	ms	nh/0024_nh.bmp
22.32	0.72	22	2	6	57	mem	con	mod	mod	mod	nt	ms	nh/0337_nh.bmp
23.04	0.72	23	1	5	123	per	lib	low	mod	low	tg	ht	wh/0139.bmp
23.76	0.72	24	1	6	69	per	con	low	mod	low	tg	ms	wh/1019.bmp
24.48	0.72	25	2	8	81	mem	con	mod	mod	low	tg	ht	wh/0756.bmp
25.20	0.72	26	1	8	12	per	con	mod	mod	mod	nt	cr	nh/0915_nh.bmp
25.92	0.72	27	1	6	68	per	con	low	mod	low	tg	ms	wh/0170.bmp
26.64	0.72	28	3	6	57	mem	con	mod	mod	mod	nt	ms	nh/0337_nh.bmp
27.36	0.72	29	1	5	113	per	lib	low	mod	low	nt	cr	nh/0064_nh.bmp
28.08	0.72	30	1	7	81	per	lib	mod	mod	mod	nt	fa	nh/0586_nh.bmp
28.80	0.72	31	1	5	17	per	con	mod	mod	mod	nt	cr	nh/0020_nh.bmp
29.52	0.72	32	2	7	20	mem	lib	mod	mod	mod	nt	ht	nh/0888_nh.bmp
30.24	0.72	33	1	7	127	per	con	low	mod	low	tg	ms	wh/0143.bmp
30.96	0.72	34	1	7	25	mem	lib	mod	mod	mod	tg	ht	wh/0546.bmp
31.68	0.72	35	1	8	62	mem	con	low	low	low	tg	ht	wh/0482.bmp
32.40	0.72	36	1	7	85	per	lib	mod	mod	mod	nt	cr	nh/0832_nh.bmp
