onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	5	76	mem	con	mod	mod	mod	tg	ms	wh/0590.bmp
7.92	0.72	2	1	5	113	mem	lib	mod	mod	low	tg	ht	wh/0848.bmp
8.64	0.72	3	1	7	72	per	con	mod	mod	mod	tg	ht	wh/0995.bmp
9.36	0.72	4	1	6	4	per	lib	low	mod	low	nt	cr	nh/0297_nh.bmp
10.08	0.72	5	1	7	87	mem	con	mod	mod	low	nt	ht	nh/0892_nh.bmp
10.80	0.72	6	1	err	err	err	err	err	err	err	err	err	wh/0300.bmp
11.52	0.72	7	1	7	47	mem	lib	mod	mod	mod	tg	ht	wh/0629.bmp
12.24	0.72	8	1	8	127	mem	con	mod	mod	mod	tg	ms	wh/0378.bmp
12.96	0.72	9	1	7	42	mem	lib	mod	mod	mod	nt	ht	nh/0436_nh.bmp
13.68	0.72	10	1	5	77	mem	con	mod	mod	mod	nt	ms	nh/0821_nh.bmp
14.40	0.72	11	1	8	101	mem	lib	mod	mod	low	tg	ht	wh/0640.bmp
15.12	0.72	12	1	7	43	mem	lib	mod	mod	mod	nt	ht	nh/0971_nh.bmp
15.84	0.72	13	1	7	126	mem	lib	low	low	low	tg	ht	wh/0825.bmp
16.56	0.72	14	1	5	71	mem	con	mod	mod	mod	nt	ht	nh/0638_nh.bmp
17.28	0.72	15	1	err	err	err	err	err	err	err	err	err	wh/0247.bmp
18.00	0.72	16	1	5	114	mem	lib	mod	mod	low	nt	ht	nh/0450_nh.bmp
18.72	0.72	17	1	6	28	mem	lib	low	low	mod	nt	ht	nh/0611_nh.bmp
19.44	0.72	18	1	7	57	per	lib	low	mod	low	tg	ms	wh/0578.bmp
20.16	0.72	19	1	8	1	mem	lib	low	low	mod	nt	ht	nh/0037_nh.bmp
20.88	0.72	20	1	err	err	err	err	err	err	err	err	err	nh/0249_nh.bmp
21.60	0.72	21	1	5	73	mem	con	mod	mod	mod	tg	ms	wh/0827.bmp
22.32	0.72	22	1	err	err	err	err	err	err	err	err	err	wh/0176.bmp
23.04	0.72	23	1	7	88	mem	con	mod	mod	low	tg	ht	wh/0018.bmp
23.76	0.72	24	1	6	61	per	con	mod	mod	mod	tg	ms	wh/0835.bmp
24.48	0.72	25	1	7	95	mem	con	mod	mod	low	nt	ms	nh/1019_nh.bmp
25.20	0.72	26	1	7	48	mem	lib	mod	mod	mod	tg	ht	wh/0366.bmp
25.92	0.72	27	1	8	89	per	con	low	mod	low	tg	ms	wh/0875.bmp
26.64	0.72	28	1	6	2	per	lib	low	mod	low	nt	cr	nh/0883_nh.bmp
27.36	0.72	29	1	8	110	mem	lib	mod	mod	low	tg	ht	wh/1014.bmp
28.08	0.72	30	1	7	56	per	lib	low	mod	low	tg	ht	wh/0193.bmp
28.80	0.72	31	1	8	116	mem	con	mod	mod	mod	nt	ht	nh/0239_nh.bmp
29.52	0.72	32	1	5	55	per	con	low	low	low	nt	cr	nh/0258_nh.bmp
30.24	0.72	33	2	7	95	mem	con	mod	mod	low	nt	ms	nh/1019_nh.bmp
30.96	0.72	34	1	7	49	per	lib	low	mod	low	nt	fa	nh/0403_nh.bmp
31.68	0.72	35	1	8	107	mem	lib	mod	mod	low	nt	ht	nh/0139_nh.bmp
32.40	0.72	36	1	err	err	err	err	err	err	err	err	err	wh/0814.bmp
33.12	0.72	37	1	6	3	per	lib	low	mod	low	tg	ht	wh/0024.bmp
33.84	0.72	38	1	err	err	err	err	err	err	err	err	err	nh/0262_nh.bmp
34.56	0.72	39	1	err	err	err	err	err	err	err	err	err	nh/0420_nh.bmp
35.28	0.72	40	1	7	77	per	con	mod	mod	mod	tg	ms	wh/0623.bmp
36.00	0.72	41	1	6	8	per	lib	low	mod	low	nt	fa	nh/0253_nh.bmp
36.72	0.72	42	2	7	72	per	con	mod	mod	mod	tg	ht	wh/0995.bmp
37.44	0.72	43	2	8	89	per	con	low	mod	low	tg	ms	wh/0875.bmp
38.16	0.72	44	1	8	85	per	con	low	mod	low	nt	cr	nh/0820_nh.bmp
38.88	0.72	45	2	7	43	mem	lib	mod	mod	mod	nt	ht	nh/0971_nh.bmp
39.60	0.72	46	2	5	114	mem	lib	mod	mod	low	nt	ht	nh/0450_nh.bmp
40.32	0.72	47	2	5	73	mem	con	mod	mod	mod	tg	ms	wh/0827.bmp
41.04	0.72	48	1	6	11	per	lib	low	mod	low	tg	ms	wh/0863.bmp
41.76	0.72	49	1	7	119	mem	lib	low	low	low	tg	ht	wh/0138.bmp
42.48	0.72	50	1	7	90	mem	con	mod	mod	low	nt	ms	nh/0986_nh.bmp
43.20	0.72	51	2	7	87	mem	con	mod	mod	low	nt	ht	nh/0892_nh.bmp
43.92	0.72	52	1	err	err	err	err	err	err	err	err	err	nh/0108_nh.bmp
44.64	0.72	53	2	err	err	err	err	err	err	err	err	err	nh/0262_nh.bmp
45.36	0.72	54	1	5	48	per	con	mod	low	mod	tg	ht	wh/0982.bmp
46.08	0.72	55	2	6	11	per	lib	low	mod	low	tg	ms	wh/0863.bmp
46.80	0.72	56	1	err	err	err	err	err	err	err	err	err	nh/0143_nh.bmp
47.52	0.72	57	1	8	42	per	con	mod	low	mod	tg	ht	wh/0749.bmp
48.24	0.72	58	1	7	106	per	con	low	low	low	nt	cr	nh/0767_nh.bmp
48.96	0.72	59	1	7	70	per	con	mod	mod	mod	tg	ht	wh/0560.bmp
49.68	0.72	60	1	err	err	err	err	err	err	err	err	err	nh/0978_nh.bmp
