onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	3	28	per	lib	mod	mod	mod	tg	ht	wh/0895.bmp
7.92	0.72	2	1	2	72	mem	con	mod	mod	mod	nt	ht	nh/0970_nh.bmp
8.64	0.72	3	1	1	49	mem	con	low	low	low	nt	ht	nh/0167_nh.bmp
9.36	0.72	4	1	1	48	per	lib	mod	mod	mod	tg	ms	wh/0796.bmp
10.08	0.72	5	1	4	51	per	lib	low	low	low	tg	ms	wh/0314.bmp
10.80	0.72	6	1	3	25	per	lib	mod	mod	mod	nt	cr	nh/0689_nh.bmp
11.52	0.72	7	1	4	26	mem	lib	mod	mod	low	nt	ht	nh/0236_nh.bmp
12.24	0.72	8	1	1	82	per	lib	low	mod	low	tg	ms	wh/0412.bmp
12.96	0.72	9	1	3	81	per	con	mod	low	mod	nt	cr	nh/0670_nh.bmp
13.68	0.72	10	1	1	122	mem	con	mod	mod	low	nt	ht	nh/0323_nh.bmp
14.40	0.72	11	1	1	36	per	lib	mod	mod	mod	nt	cr	nh/0645_nh.bmp
15.12	0.72	12	1	3	33	per	con	low	mod	low	tg	ms	wh/0641.bmp
15.84	0.72	13	1	3	99	per	lib	low	mod	low	nt	cr	nh/0081_nh.bmp
16.56	0.72	14	1	3	40	per	con	low	mod	low	nt	cr	nh/1000_nh.bmp
17.28	0.72	15	1	3	42	per	con	low	mod	low	tg	ms	wh/0703.bmp
18.00	0.72	16	1	1	118	mem	con	mod	mod	low	nt	ms	nh/0368_nh.bmp
18.72	0.72	17	1	1	95	per	lib	low	mod	low	nt	cr	nh/0438_nh.bmp
19.44	0.72	18	1	1	42	per	lib	mod	mod	mod	tg	ht	wh/0137.bmp
20.16	0.72	19	1	2	108	mem	lib	mod	mod	mod	nt	ms	nh/1006_nh.bmp
20.88	0.72	20	1	2	101	mem	lib	mod	mod	mod	nt	ht	nh/0576_nh.bmp
21.60	0.72	21	1	1	9	mem	lib	mod	mod	low	tg	ms	wh/0295.bmp
22.32	0.72	22	1	4	15	mem	con	mod	mod	low	tg	ms	wh/0683.bmp
23.04	0.72	23	1	1	123	mem	con	mod	mod	low	nt	ms	nh/0203_nh.bmp
23.76	0.72	24	1	2	110	mem	lib	mod	mod	mod	tg	ht	wh/0320.bmp
24.48	0.72	25	1	4	119	per	con	mod	mod	mod	tg	ms	wh/0049.bmp
25.20	0.72	26	1	1	60	mem	con	low	low	low	nt	ht	nh/0010_nh.bmp
25.92	0.72	27	1	3	66	mem	con	low	low	mod	tg	ht	wh/0004.bmp
26.64	0.72	28	1	1	11	mem	lib	mod	mod	low	tg	ms	wh/0415.bmp
27.36	0.72	29	1	3	69	mem	con	low	low	mod	nt	ht	nh/0894_nh.bmp
28.08	0.72	30	1	4	99	per	con	low	low	low	tg	ms	wh/0127.bmp
28.80	0.72	31	1	1	22	per	con	mod	low	mod	tg	ms	wh/0069.bmp
29.52	0.72	32	1	1	39	per	lib	mod	mod	mod	tg	ht	wh/0961.bmp
30.24	0.72	33	1	3	62	mem	lib	low	low	mod	nt	ms	nh/0085_nh.bmp
30.96	0.72	34	1	1	64	mem	con	low	low	low	tg	ms	wh/0327.bmp
31.68	0.72	35	1	1	12	mem	lib	mod	mod	low	nt	ht	nh/0494_nh.bmp
32.40	0.72	36	1	3	84	per	con	mod	low	mod	nt	cr	nh/0539_nh.bmp
33.12	0.72	37	2	2	72	mem	con	mod	mod	mod	nt	ht	nh/0970_nh.bmp
33.84	0.72	38	2	3	33	per	con	low	mod	low	tg	ms	wh/0641.bmp
34.56	0.72	39	1	3	114	mem	lib	mod	mod	mod	nt	ms	nh/0490_nh.bmp
35.28	0.72	40	1	3	101	per	lib	low	mod	low	nt	cr	nh/0315_nh.bmp
36.00	0.72	41	2	3	101	per	lib	low	mod	low	nt	cr	nh/0315_nh.bmp
36.72	0.72	42	1	2	76	mem	con	mod	mod	mod	tg	ms	wh/0413.bmp
37.44	0.72	43	1	2	109	mem	lib	mod	mod	mod	nt	ht	nh/0487_nh.bmp
38.16	0.72	44	1	1	121	mem	con	mod	mod	low	tg	ms	wh/0511.bmp
38.88	0.72	45	1	4	122	per	con	mod	mod	mod	tg	ms	wh/0604.bmp
39.60	0.72	46	1	3	125	mem	lib	mod	mod	mod	nt	ht	nh/0753_nh.bmp
40.32	0.72	47	1	2	66	mem	con	mod	mod	mod	nt	ht	nh/0583_nh.bmp
41.04	0.72	48	1	4	9	mem	con	mod	mod	low	nt	ht	nh/0174_nh.bmp
41.76	0.72	49	1	3	116	mem	lib	mod	mod	mod	tg	ht	wh/0705.bmp
42.48	0.72	50	1	1	79	mem	lib	low	low	mod	tg	ms	wh/0547.bmp
43.20	0.72	51	1	3	21	per	lib	mod	mod	mod	tg	ht	wh/0229.bmp
43.92	0.72	52	1	1	5	mem	lib	mod	mod	low	nt	ms	nh/0791_nh.bmp
44.64	0.72	53	1	2	118	per	con	mod	mod	mod	tg	ht	wh/0562.bmp
45.36	0.72	54	1	3	15	mem	con	mod	mod	mod	tg	ht	wh/0809.bmp
46.08	0.72	55	1	2	6	mem	con	low	low	mod	nt	ht	nh/0050_nh.bmp
46.80	0.72	56	1	3	13	mem	con	mod	mod	mod	nt	ms	nh/0358_nh.bmp
47.52	0.72	57	2	3	15	mem	con	mod	mod	mod	tg	ht	wh/0809.bmp
48.24	0.72	58	1	1	29	per	con	mod	low	mod	tg	ht	wh/0102.bmp
48.96	0.72	59	1	3	109	per	lib	low	mod	low	tg	ms	wh/0410.bmp
49.68	0.72	60	1	4	29	mem	lib	mod	mod	low	tg	ht	wh/0523.bmp
50.40	0.72	61	1	4	6	mem	con	mod	mod	low	tg	ht	wh/0512.bmp
51.12	0.72	62	2	2	101	mem	lib	mod	mod	mod	nt	ht	nh/0576_nh.bmp
51.84	0.72	63	1	3	20	per	lib	mod	mod	mod	nt	cr	nh/0806_nh.bmp
52.56	0.72	64	1	2	113	per	con	mod	mod	mod	tg	ht	wh/0799.bmp
53.28	0.72	65	2	3	116	mem	lib	mod	mod	mod	tg	ht	wh/0705.bmp
54.00	0.72	66	1	4	118	per	con	mod	mod	mod	tg	ht	wh/0931.bmp
54.72	0.72	67	2	3	125	mem	lib	mod	mod	mod	nt	ht	nh/0753_nh.bmp
55.44	0.72	68	1	3	38	per	con	low	mod	low	nt	cr	nh/0400_nh.bmp
56.16	0.72	69	1	3	123	mem	lib	mod	mod	mod	nt	ht	nh/0282_nh.bmp
56.88	0.72	70	3	3	101	per	lib	low	mod	low	nt	cr	nh/0315_nh.bmp
57.60	0.72	71	1	2	63	per	con	low	low	low	tg	n/a	wh/0184.bmp
58.32	0.72	72	1	2	128	per	con	mod	mod	mod	nt	n/a	nh/0331_nh.bmp
59.04	0.72	73	1	1	93	per	lib	low	mod	low	nt	cr	nh/0554_nh.bmp
59.76	0.72	74	1	3	127	mem	lib	mod	mod	mod	tg	ht	wh/0151.bmp
60.48	0.72	75	2	1	12	mem	lib	mod	mod	low	nt	ht	nh/0494_nh.bmp
61.20	0.72	76	2	4	6	mem	con	mod	mod	low	tg	ht	wh/0512.bmp
61.92	0.72	77	2	3	114	mem	lib	mod	mod	mod	nt	ms	nh/0490_nh.bmp
62.64	0.72	78	1	3	24	per	lib	mod	mod	mod	nt	cr	nh/0479_nh.bmp
63.36	0.72	79	1	1	128	mem	con	mod	mod	low	nt	ht	nh/0386_nh.bmp
64.08	0.72	80	1	3	2	mem	con	mod	mod	mod	tg	ht	wh/0477.bmp
64.80	0.72	81	3	4	6	mem	con	mod	mod	low	tg	ht	wh/0512.bmp
65.52	0.72	82	1	1	35	per	lib	mod	mod	mod	nt	fa	nh/0279_nh.bmp
66.24	0.72	83	1	1	127	mem	con	mod	mod	low	tg	ht	wh/0661.bmp
66.96	0.72	84	1	4	25	mem	lib	mod	mod	low	nt	ms	nh/0798_nh.bmp
67.68	0.72	85	1	4	127	per	con	mod	mod	mod	nt	cr	nh/0943_nh.bmp
68.40	0.72	86	1	4	47	mem	con	low	low	low	tg	ms	wh/0565.bmp
69.12	0.72	87	1	4	106	per	con	low	low	low	tg	ms	wh/0492.bmp
69.84	0.72	88	2	3	21	per	lib	mod	mod	mod	tg	ht	wh/0229.bmp
70.56	0.72	89	1	2	122	per	con	mod	mod	mod	tg	n/a	wh/0333.bmp
71.28	0.72	90	1	1	13	mem	lib	mod	mod	low	tg	ms	wh/0312.bmp
72.00	0.72	91	1	2	125	per	con	mod	mod	mod	tg	ht	wh/0628.bmp
72.72	0.72	92	1	1	1	mem	lib	mod	mod	low	nt	ms	nh/1013_nh.bmp
73.44	0.72	93	1	2	14	mem	con	low	low	mod	nt	ms	nh/0502_nh.bmp
74.16	0.72	94	1	4	24	mem	lib	mod	mod	low	tg	ms	wh/0390.bmp
74.88	0.72	95	1	2	83	per	lib	low	low	low	tg	ms	wh/0169.bmp
75.60	0.72	96	3	2	72	mem	con	mod	mod	mod	nt	ht	nh/0970_nh.bmp
76.32	0.72	97	1	1	8	mem	lib	mod	mod	low	tg	ht	wh/0444.bmp
77.04	0.72	98	1	3	108	per	lib	low	mod	low	nt	cr	nh/0575_nh.bmp
77.76	0.72	99	1	2	69	mem	con	mod	mod	mod	tg	ht	wh/0983.bmp
78.48	0.72	100	1	1	105	per	con	low	mod	low	tg	ms	wh/0212.bmp
79.20	0.72	101	1	2	16	mem	con	low	low	mod	tg	ms	wh/0470.bmp
79.92	0.72	102	2	1	123	mem	con	mod	mod	low	nt	ms	nh/0203_nh.bmp
80.64	0.72	103	1	1	2	mem	lib	mod	mod	low	nt	ht	nh/0007_nh.bmp
81.36	0.72	104	1	2	126	per	con	mod	mod	mod	nt	cr	nh/0359_nh.bmp
82.08	0.72	105	1	4	4	mem	con	mod	mod	low	nt	n/a	nh/0643_nh.bmp
82.80	0.72	106	1	4	104	per	con	low	low	low	nt	n/a	nh/0720_nh.bmp
83.52	0.72	107	2	4	4	mem	con	mod	mod	low	nt	n/a	nh/0643_nh.bmp
84.24	0.72	108	1	1	94	per	lib	low	mod	low	tg	ht	wh/0263.bmp
84.96	0.72	109	1	2	80	mem	con	mod	mod	mod	tg	ms	wh/0104.bmp
85.68	0.72	110	1	4	86	per	lib	mod	low	mod	nt	cr	nh/0826_nh.bmp
86.40	0.72	111	1	2	97	mem	lib	mod	mod	mod	tg	ht	wh/0901.bmp
87.12	0.72	112	1	1	116	mem	con	mod	mod	low	tg	ms	wh/0124.bmp
87.84	0.72	113	1	1	115	mem	con	mod	mod	low	tg	ht	wh/0988.bmp
88.56	0.72	114	2	1	8	mem	lib	mod	mod	low	tg	ht	wh/0444.bmp
89.28	0.72	115	1	3	35	per	con	low	mod	low	tg	ms	wh/0454.bmp
90.00	0.72	116	2	1	1	mem	lib	mod	mod	low	nt	ms	nh/1013_nh.bmp
