onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	125	mem	lib	mod	mod	mod	nt	ht	nh/0274_nh.bmp
7.92	0.72	2	1	1	82	per	con	mod	mod	mod	tg	ms	wh/0600.bmp
8.64	0.72	3	1	4	50	mem	con	mod	mod	low	tg	ms	wh/0853.bmp
9.36	0.72	4	1	2	44	per	lib	low	mod	low	tg	ht	wh/0155.bmp
10.08	0.72	5	1	3	17	mem	lib	mod	mod	mod	tg	ht	wh/0391.bmp
10.80	0.72	6	2	3	17	mem	lib	mod	mod	mod	tg	ht	wh/0391.bmp
11.52	0.72	7	1	2	46	per	lib	low	mod	low	nt	fa	nh/0353_nh.bmp
12.24	0.72	8	1	2	85	per	con	low	mod	low	tg	ms	wh/0014.bmp
12.96	0.72	9	1	2	61	mem	lib	mod	mod	low	tg	ht	wh/1021.bmp
13.68	0.72	10	1	2	57	mem	lib	mod	mod	low	tg	ht	wh/0727.bmp
14.40	0.72	11	1	4	68	mem	lib	mod	mod	low	tg	ht	wh/0745.bmp
15.12	0.72	12	1	2	111	mem	con	low	low	low	nt	ms	nh/0790_nh.bmp
15.84	0.72	13	1	2	73	mem	con	mod	mod	low	nt	ht	nh/0932_nh.bmp
16.56	0.72	14	1	4	126	per	lib	low	mod	low	nt	fa	nh/0019_nh.bmp
17.28	0.72	15	1	2	66	mem	con	mod	mod	low	tg	ms	wh/0298.bmp
18.00	0.72	16	1	2	35	per	lib	low	mod	low	tg	ht	wh/0435.bmp
18.72	0.72	17	1	4	101	per	con	low	mod	low	nt	cr	nh/0739_nh.bmp
19.44	0.72	18	1	1	21	mem	con	mod	mod	mod	tg	ht	wh/0942.bmp
20.16	0.72	19	1	4	119	per	lib	low	mod	low	nt	fa	nh/0377_nh.bmp
20.88	0.72	20	1	1	10	per	lib	low	low	low	tg	ht	wh/0499.bmp
21.60	0.72	21	1	1	78	mem	con	low	low	mod	nt	ht	nh/0228_nh.bmp
22.32	0.72	22	2	1	82	per	con	mod	mod	mod	tg	ms	wh/0600.bmp
23.04	0.72	23	1	3	23	mem	lib	mod	mod	mod	tg	ht	wh/0605.bmp
23.76	0.72	24	1	2	62	mem	lib	mod	mod	low	nt	ht	nh/0755_nh.bmp
24.48	0.72	25	2	2	57	mem	lib	mod	mod	low	tg	ht	wh/0727.bmp
25.20	0.72	26	1	1	93	per	con	mod	mod	mod	nt	cr	nh/0920_nh.bmp
25.92	0.72	27	1	1	87	per	con	mod	mod	mod	nt	cr	nh/0002_nh.bmp
26.64	0.72	28	1	3	56	mem	lib	low	low	mod	nt	ht	nh/0906_nh.bmp
27.36	0.72	29	1	4	57	mem	con	mod	mod	low	tg	ht	wh/0769.bmp
28.08	0.72	30	1	1	25	mem	con	mod	mod	mod	tg	ms	wh/0637.bmp
28.80	0.72	31	1	3	110	per	lib	mod	low	mod	nt	fa	nh/0866_nh.bmp
29.52	0.72	32	1	3	40	mem	con	mod	mod	mod	tg	ms	wh/0658.bmp
30.24	0.72	33	2	2	46	per	lib	low	mod	low	nt	fa	nh/0353_nh.bmp
30.96	0.72	34	2	4	57	mem	con	mod	mod	low	tg	ht	wh/0769.bmp
31.68	0.72	35	1	3	29	mem	lib	mod	mod	mod	tg	ht	wh/0801.bmp
32.40	0.72	36	1	3	73	per	con	mod	mod	mod	nt	cr	nh/0070_nh.bmp
33.12	0.72	37	1	2	49	mem	lib	mod	mod	low	nt	ht	nh/0205_nh.bmp
33.84	0.72	38	1	2	42	per	lib	low	mod	low	tg	ht	wh/0133.bmp
34.56	0.72	39	2	2	85	per	con	low	mod	low	tg	ms	wh/0014.bmp
35.28	0.72	40	1	4	94	per	con	mod	low	mod	tg	ht	wh/0905.bmp
36.00	0.72	41	2	4	50	mem	con	mod	mod	low	tg	ms	wh/0853.bmp
36.72	0.72	42	1	4	51	mem	con	mod	mod	low	tg	ht	wh/0472.bmp
37.44	0.72	43	1	3	42	mem	con	mod	mod	mod	nt	ms	nh/0627_nh.bmp
38.16	0.72	44	1	1	70	mem	con	low	low	mod	tg	ms	wh/0910.bmp
38.88	0.72	45	1	2	69	mem	con	mod	mod	low	tg	ht	wh/0897.bmp
39.60	0.72	46	1	4	55	mem	con	mod	mod	low	nt	ht	nh/0624_nh.bmp
40.32	0.72	47	1	3	30	mem	lib	mod	mod	mod	nt	ms	nh/0466_nh.bmp
41.04	0.72	48	1	2	21	per	lib	mod	mod	mod	nt	fa	nh/0841_nh.bmp
41.76	0.72	49	1	1	26	mem	con	mod	mod	mod	nt	ht	nh/0473_nh.bmp
42.48	0.72	50	1	2	31	per	lib	mod	mod	mod	tg	ht	wh/0698.bmp
43.20	0.72	51	1	3	13	per	con	low	low	low	tg	ht	wh/0771.bmp
43.92	0.72	52	2	1	87	per	con	mod	mod	mod	nt	cr	nh/0002_nh.bmp
44.64	0.72	53	1	3	20	mem	lib	mod	mod	mod	tg	ht	wh/0414.bmp
45.36	0.72	54	1	2	38	per	lib	low	mod	low	tg	ms	wh/0515.bmp
46.08	0.72	55	1	3	121	mem	con	low	low	mod	nt	ms	nh/0898_nh.bmp
46.80	0.72	56	3	4	57	mem	con	mod	mod	low	tg	ht	wh/0769.bmp
47.52	0.72	57	2	4	55	mem	con	mod	mod	low	nt	ht	nh/0624_nh.bmp
48.24	0.72	58	1	1	23	mem	con	mod	mod	mod	tg	ms	wh/0884.bmp
48.96	0.72	59	1	4	97	per	con	low	mod	low	tg	ms	wh/0341.bmp
49.68	0.72	60	1	2	76	mem	con	mod	mod	low	nt	ht	nh/0265_nh.bmp
50.40	0.72	61	1	3	70	per	con	mod	mod	mod	tg	ms	wh/0287.bmp
51.12	0.72	62	2	1	93	per	con	mod	mod	mod	nt	cr	nh/0920_nh.bmp
51.84	0.72	63	1	2	26	per	lib	mod	mod	mod	tg	ht	wh/0463.bmp
52.56	0.72	64	2	2	49	mem	lib	mod	mod	low	nt	ht	nh/0205_nh.bmp
53.28	0.72	65	1	1	127	mem	lib	mod	mod	mod	tg	ht	wh/0393.bmp
54.00	0.72	66	1	4	27	per	lib	mod	mod	mod	tg	ht	wh/0700.bmp
54.72	0.72	67	1	1	124	mem	lib	mod	mod	mod	nt	ht	nh/0405_nh.bmp
55.44	0.72	68	1	4	109	per	con	low	mod	low	nt	cr	nh/0675_nh.bmp
56.16	0.72	69	1	3	44	mem	con	mod	mod	mod	tg	ht	wh/0899.bmp
56.88	0.72	70	1	4	107	per	con	low	mod	low	tg	ms	wh/0868.bmp
57.60	0.72	71	1	3	38	mem	con	mod	mod	mod	nt	ht	nh/0692_nh.bmp
58.32	0.72	72	2	1	124	mem	lib	mod	mod	mod	nt	ht	nh/0405_nh.bmp
59.04	0.72	73	1	4	70	mem	lib	mod	mod	low	nt	ht	nh/0514_nh.bmp
59.76	0.72	74	2	4	109	per	con	low	mod	low	nt	cr	nh/0675_nh.bmp
60.48	0.72	75	1	3	47	mem	con	mod	mod	mod	nt	ht	nh/0098_nh.bmp
61.20	0.72	76	1	1	49	per	lib	mod	low	mod	nt	cr	nh/0752_nh.bmp
61.92	0.72	77	2	3	44	mem	con	mod	mod	mod	tg	ht	wh/0899.bmp
62.64	0.72	78	1	4	122	per	lib	low	mod	low	nt	fa	nh/0597_nh.bmp
63.36	0.72	79	1	4	66	mem	lib	mod	mod	low	nt	ht	nh/0145_nh.bmp
64.08	0.72	80	3	4	109	per	con	low	mod	low	nt	cr	nh/0675_nh.bmp
64.80	0.72	81	1	4	116	per	lib	low	mod	low	tg	ht	wh/0816.bmp
65.52	0.72	82	1	4	21	per	lib	mod	mod	mod	tg	ht	wh/0001.bmp
66.24	0.72	83	1	2	67	mem	con	mod	mod	low	tg	ms	wh/0379.bmp
66.96	0.72	84	2	4	122	per	lib	low	mod	low	nt	fa	nh/0597_nh.bmp
67.68	0.72	85	2	2	21	per	lib	mod	mod	mod	nt	fa	nh/0841_nh.bmp
68.40	0.72	86	3	4	122	per	lib	low	mod	low	nt	fa	nh/0597_nh.bmp
69.12	0.72	87	1	4	111	per	con	low	mod	low	nt	cr	nh/0177_nh.bmp
69.84	0.72	88	1	3	65	per	con	mod	mod	mod	nt	cr	nh/0919_nh.bmp
70.56	0.72	89	2	2	67	mem	con	mod	mod	low	tg	ms	wh/0379.bmp
71.28	0.72	90	1	3	77	per	con	mod	mod	mod	tg	ht	wh/0878.bmp
