onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	7	41	mem	lib	mod	mod	mod	nt	ht	nh/0827_nh.bmp
7.92	0.72	2	1	6	119	mem	lib	mod	mod	low	tg	ht	wh/0892.bmp
8.64	0.72	3	1	5	101	per	lib	low	mod	low	nt	cr	nh/0574_nh.bmp
9.36	0.72	4	1	6	36	mem	con	mod	mod	mod	tg	ms	wh/0549.bmp
10.08	0.72	5	1	5	51	per	con	mod	mod	mod	nt	cr	nh/0495_nh.bmp
10.80	0.72	6	2	6	36	mem	con	mod	mod	mod	tg	ms	wh/0549.bmp
11.52	0.72	7	1	8	24	mem	lib	mod	mod	low	tg	ms	wh/0108.bmp
12.24	0.72	8	1	6	126	mem	lib	mod	mod	low	tg	ht	wh/0986.bmp
12.96	0.72	9	1	8	112	per	con	mod	mod	mod	tg	ht	wh/0546.bmp
13.68	0.72	10	2	6	119	mem	lib	mod	mod	low	tg	ht	wh/0892.bmp
14.40	0.72	11	1	8	95	per	lib	mod	mod	mod	tg	ht	wh/0385.bmp
15.12	0.72	12	1	8	101	per	con	mod	mod	mod	tg	ms	wh/0958.bmp
15.84	0.72	13	2	5	51	per	con	mod	mod	mod	nt	cr	nh/0495_nh.bmp
16.56	0.72	14	1	7	116	per	con	low	low	low	nt	fa	nh/0043_nh.bmp
17.28	0.72	15	1	8	77	mem	con	low	low	mod	nt	ht	nh/0046_nh.bmp
18.00	0.72	16	1	7	109	mem	con	mod	mod	mod	nt	ms	nh/0852_nh.bmp
18.72	0.72	17	1	5	124	mem	lib	mod	mod	mod	nt	ht	nh/0717_nh.bmp
19.44	0.72	18	1	5	99	per	lib	low	mod	low	nt	fa	nh/1004_nh.bmp
20.16	0.72	19	1	8	91	per	lib	mod	mod	mod	nt	fa	nh/0835_nh.bmp
20.88	0.72	20	1	7	99	mem	con	mod	mod	mod	tg	ht	wh/0544.bmp
21.60	0.72	21	1	5	97	per	lib	low	mod	low	nt	fa	nh/0241_nh.bmp
