onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	6	127	mem	con	mod	mod	mod	tg	ms	wh/0378.bmp
7.92	0.72	2	1	5	122	per	lib	mod	mod	mod	nt	cr	nh/0871_nh.bmp
8.64	0.72	3	1	6	3	per	con	low	low	low	nt	cr	nh/0376_nh.bmp
9.36	0.72	4	1	7	97	per	con	mod	mod	mod	nt	cr	nh/0385_nh.bmp
10.08	0.72	5	1	6	27	per	lib	low	mod	low	nt	fa	nh/0793_nh.bmp
10.80	0.72	6	1	5	53	mem	lib	mod	mod	low	tg	ht	wh/1014.bmp
11.52	0.72	7	1	6	101	per	con	mod	mod	mod	tg	ht	wh/0337.bmp
12.24	0.72	8	1	5	124	per	lib	mod	mod	mod	nt	cr	nh/0269_nh.bmp
12.96	0.72	9	1	7	2	mem	con	mod	mod	mod	nt	ht	nh/0666_nh.bmp
13.68	0.72	10	1	7	101	per	con	mod	mod	mod	tg	ht	wh/0564.bmp
14.40	0.72	11	1	5	78	mem	con	low	low	low	nt	ht	nh/0181_nh.bmp
15.12	0.72	12	1	8	98	mem	lib	mod	mod	mod	nt	ht	nh/0544_nh.bmp
15.84	0.72	13	1	6	123	mem	con	mod	mod	mod	tg	ht	wh/0717.bmp
16.56	0.72	14	1	8	16	mem	con	mod	mod	low	tg	ms	wh/0247.bmp
17.28	0.72	15	1	6	19	per	lib	low	mod	low	tg	ht	wh/0374.bmp
18.00	0.72	16	1	6	112	per	con	mod	mod	mod	tg	ht	wh/0560.bmp
18.72	0.72	17	1	7	25	per	con	low	mod	low	nt	cr	nh/0401_nh.bmp
19.44	0.72	18	1	8	41	mem	lib	low	low	low	nt	ht	nh/1011_nh.bmp
20.16	0.72	19	1	7	48	per	lib	low	mod	low	nt	cr	nh/0883_nh.bmp
20.88	0.72	20	2	7	48	per	lib	low	mod	low	nt	cr	nh/0883_nh.bmp
21.60	0.72	21	1	8	105	mem	lib	mod	mod	mod	nt	ht	nh/0763_nh.bmp
22.32	0.72	22	1	8	107	mem	lib	mod	mod	mod	tg	ht	wh/0586.bmp
23.04	0.72	23	1	5	94	mem	con	mod	mod	low	nt	ht	nh/1019_nh.bmp
23.76	0.72	24	1	5	33	per	con	low	mod	low	nt	cr	nh/0582_nh.bmp
24.48	0.72	25	1	7	121	mem	con	low	low	mod	tg	ms	wh/0373.bmp
25.20	0.72	26	1	7	62	per	lib	mod	mod	mod	nt	cr	nh/0546_nh.bmp
