onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	3	54	per	con	low	mod	low	nt	cr	nh/0081_nh.bmp
7.92	0.72	2	1	3	34	per	lib	low	mod	low	tg	ht	wh/0132.bmp
8.64	0.72	3	2	3	54	per	con	low	mod	low	nt	cr	nh/0081_nh.bmp
9.36	0.72	4	1	1	128	per	lib	low	mod	low	tg	ht	wh/0212.bmp
10.08	0.72	5	1	3	73	mem	lib	mod	mod	mod	tg	ht	wh/0039.bmp
10.80	0.72	6	1	2	96	mem	con	low	low	low	tg	ht	wh/0363.bmp
11.52	0.72	7	1	3	55	per	con	low	mod	low	tg	ms	wh/0030.bmp
12.24	0.72	8	1	4	118	mem	lib	mod	mod	low	nt	ms	nh/0643_nh.bmp
12.96	0.72	9	1	4	115	mem	lib	mod	mod	low	nt	ht	nh/0067_nh.bmp
13.68	0.72	10	1	3	58	per	con	low	mod	low	tg	ms	wh/0410.bmp
14.40	0.72	11	1	3	22	mem	lib	low	low	mod	nt	ht	nh/0894_nh.bmp
15.12	0.72	12	1	4	71	mem	con	mod	mod	low	tg	ht	wh/0390.bmp
15.84	0.72	13	1	1	33	per	con	low	mod	low	tg	ht	wh/0293.bmp
16.56	0.72	14	1	3	78	mem	lib	mod	mod	mod	nt	ht	nh/0344_nh.bmp
17.28	0.72	15	1	4	120	mem	lib	mod	mod	low	nt	ht	nh/0174_nh.bmp
18.00	0.72	16	1	3	125	mem	con	low	low	mod	tg	ms	wh/0969.bmp
18.72	0.72	17	1	1	57	per	lib	mod	mod	mod	tg	ht	wh/0333.bmp
19.44	0.72	18	1	2	109	mem	con	mod	mod	mod	nt	ms	nh/1010_nh.bmp
20.16	0.72	19	1	1	94	mem	lib	mod	mod	low	nt	ht	nh/0368_nh.bmp
20.88	0.72	20	1	3	101	mem	con	mod	mod	mod	tg	ht	wh/0343.bmp
21.60	0.72	21	1	3	92	per	lib	mod	mod	mod	nt	cr	nh/0061_nh.bmp
22.32	0.72	22	2	4	118	mem	lib	mod	mod	low	nt	ms	nh/0643_nh.bmp
23.04	0.72	23	1	2	60	per	lib	mod	low	mod	tg	ms	wh/0069.bmp
23.76	0.72	24	1	2	3	per	con	mod	mod	mod	tg	ht	wh/0738.bmp
24.48	0.72	25	2	3	92	per	lib	mod	mod	mod	nt	cr	nh/0061_nh.bmp
25.20	0.72	26	1	2	105	mem	con	mod	mod	mod	nt	ht	nh/0487_nh.bmp
25.92	0.72	27	1	1	117	per	lib	low	mod	low	nt	fa	nh/0671_nh.bmp
26.64	0.72	28	1	3	105	mem	con	mod	mod	mod	nt	ms	nh/0445_nh.bmp
27.36	0.72	29	2	3	34	per	lib	low	mod	low	tg	ht	wh/0132.bmp
28.08	0.72	30	1	1	122	per	lib	low	mod	low	tg	ms	wh/0302.bmp
28.80	0.72	31	1	4	66	mem	con	mod	mod	low	nt	ht	nh/0798_nh.bmp
29.52	0.72	32	1	2	65	mem	lib	mod	mod	mod	tg	ht	wh/0104.bmp
30.24	0.72	33	1	4	75	mem	con	mod	mod	low	tg	ht	wh/0291.bmp
30.96	0.72	34	1	1	87	mem	lib	mod	mod	low	nt	ht	nh/0203_nh.bmp
31.68	0.72	35	1	2	40	mem	lib	low	low	mod	tg	ht	wh/0913.bmp
32.40	0.72	36	1	4	78	mem	con	mod	mod	low	nt	ht	nh/0424_nh.bmp
33.12	0.72	37	1	2	20	per	con	low	low	low	nt	cr	nh/0535_nh.bmp
33.84	0.72	38	1	1	43	per	con	low	mod	low	tg	ht	wh/0263.bmp
34.56	0.72	39	1	4	124	mem	lib	mod	mod	low	tg	ht	wh/0792.bmp
35.28	0.72	40	3	3	92	per	lib	mod	mod	mod	nt	cr	nh/0061_nh.bmp
36.00	0.72	41	1	1	107	per	con	mod	low	mod	tg	ht	wh/0033.bmp
36.72	0.72	42	2	1	128	per	lib	low	mod	low	tg	ht	wh/0212.bmp
37.44	0.72	43	1	1	27	mem	con	mod	mod	low	tg	ht	wh/0415.bmp
38.16	0.72	44	1	1	114	per	lib	low	mod	low	nt	cr	nh/0422_nh.bmp
38.88	0.72	45	1	1	88	mem	lib	mod	mod	low	tg	ht	wh/0124.bmp
39.60	0.72	46	1	3	48	per	lib	low	mod	low	nt	cr	nh/1000_nh.bmp
40.32	0.72	47	1	4	114	mem	lib	mod	mod	low	tg	ht	wh/0683.bmp
41.04	0.72	48	2	4	66	mem	con	mod	mod	low	nt	ht	nh/0798_nh.bmp
41.76	0.72	49	1	3	110	mem	con	mod	mod	mod	nt	ht	nh/0282_nh.bmp
42.48	0.72	50	1	1	91	mem	lib	mod	mod	low	tg	ht	wh/0988.bmp
