onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	5	59	per	con	mod	mod	mod	nt	cr	nh/0420_nh.bmp
7.92	0.72	2	1	7	28	mem	con	mod	mod	mod	tg	ht	wh/0179.bmp
8.64	0.72	3	1	5	1	per	lib	mod	low	mod	tg	ms	wh/0395.bmp
9.36	0.72	4	1	7	127	mem	con	low	low	mod	tg	ms	wh/0234.bmp
10.08	0.72	5	1	7	94	per	con	mod	mod	mod	nt	cr	nh/0609_nh.bmp
10.80	0.72	6	1	6	79	mem	con	mod	mod	mod	tg	ht	wh/0300.bmp
11.52	0.72	7	1	8	20	mem	con	mod	mod	low	nt	ht	nh/0139_nh.bmp
12.24	0.72	8	1	8	35	per	con	low	mod	low	nt	cr	nh/0403_nh.bmp
12.96	0.72	9	2	6	79	mem	con	mod	mod	mod	tg	ht	wh/0300.bmp
13.68	0.72	10	1	8	22	mem	con	mod	mod	low	nt	ht	nh/0254_nh.bmp
14.40	0.72	11	1	5	51	per	con	mod	mod	mod	tg	ms	wh/0441.bmp
15.12	0.72	12	1	8	36	per	con	low	mod	low	nt	fa	nh/0746_nh.bmp
15.84	0.72	13	1	5	60	per	con	mod	mod	mod	tg	ht	wh/0060.bmp
16.56	0.72	14	1	8	27	mem	con	mod	mod	low	nt	ht	nh/0012_nh.bmp
17.28	0.72	15	1	6	5	per	lib	mod	mod	mod	nt	cr	nh/0778_nh.bmp
18.00	0.72	16	1	6	110	per	con	mod	low	mod	tg	ms	wh/0924.bmp
18.72	0.72	17	1	8	51	per	lib	mod	mod	mod	tg	ht	wh/0995.bmp
19.44	0.72	18	1	8	127	per	lib	low	mod	low	tg	ht	wh/1004.bmp
20.16	0.72	19	1	5	46	mem	con	mod	mod	low	tg	ms	wh/0042.bmp
20.88	0.72	20	1	8	126	per	lib	low	mod	low	nt	cr	nh/0491_nh.bmp
21.60	0.72	21	1	7	93	per	con	mod	mod	mod	nt	cr	nh/0269_nh.bmp
22.32	0.72	22	1	5	38	mem	con	mod	mod	low	nt	ht	nh/0450_nh.bmp
23.04	0.72	23	1	8	17	mem	con	mod	mod	low	nt	ht	nh/0780_nh.bmp
23.76	0.72	24	1	8	114	per	lib	low	mod	low	nt	cr	nh/0820_nh.bmp
24.48	0.72	25	1	7	88	per	con	mod	mod	mod	tg	ms	wh/0715.bmp
25.20	0.72	26	1	7	45	per	lib	low	low	low	nt	cr	nh/0480_nh.bmp
25.92	0.72	27	1	5	125	per	con	low	mod	low	tg	ms	wh/0024.bmp
26.64	0.72	28	1	6	50	mem	lib	mod	mod	mod	nt	ht	nh/0275_nh.bmp
27.36	0.72	29	1	7	92	per	con	mod	mod	mod	tg	ht	wh/0764.bmp
28.08	0.72	30	2	8	114	per	lib	low	mod	low	nt	cr	nh/0820_nh.bmp
28.80	0.72	31	1	6	20	mem	lib	low	low	low	nt	ms	nh/0990_nh.bmp
29.52	0.72	32	1	7	123	mem	con	low	low	mod	tg	ht	wh/0537.bmp
30.24	0.72	33	2	8	35	per	con	low	mod	low	nt	cr	nh/0403_nh.bmp
30.96	0.72	34	1	7	9	per	con	low	low	low	tg	ht	wh/0929.bmp
31.68	0.72	35	1	5	111	mem	lib	low	low	mod	tg	ht	wh/0945.bmp
32.40	0.72	36	2	7	94	per	con	mod	mod	mod	nt	cr	nh/0609_nh.bmp
33.12	0.72	37	1	5	121	per	con	low	mod	low	nt	cr	nh/0157_nh.bmp
33.84	0.72	38	1	8	102	mem	lib	mod	mod	low	tg	ht	wh/0018.bmp
34.56	0.72	39	3	7	94	per	con	mod	mod	mod	nt	cr	nh/0609_nh.bmp
35.28	0.72	40	1	7	14	per	con	low	low	low	nt	cr	nh/0617_nh.bmp
36.00	0.72	41	1	6	91	mem	con	low	low	mod	nt	ms	nh/0839_nh.bmp
36.72	0.72	42	1	8	60	per	lib	mod	mod	mod	tg	ht	wh/0560.bmp
37.44	0.72	43	1	6	77	mem	con	mod	mod	mod	nt	ms	nh/0544_nh.bmp
38.16	0.72	44	1	7	17	mem	con	mod	mod	mod	nt	ht	nh/0436_nh.bmp
38.88	0.72	45	1	5	45	mem	con	mod	mod	low	nt	ms	nh/0521_nh.bmp
39.60	0.72	46	1	5	27	mem	lib	mod	mod	low	nt	ht	nh/0262_nh.bmp
40.32	0.72	47	1	8	123	per	lib	low	mod	low	nt	cr	nh/0073_nh.bmp
41.04	0.72	48	1	7	77	mem	lib	mod	mod	mod	nt	ht	nh/0694_nh.bmp
41.76	0.72	49	1	6	64	mem	lib	mod	mod	mod	nt	ht	nh/0666_nh.bmp
42.48	0.72	50	1	8	29	mem	con	mod	mod	low	tg	ms	wh/0111.bmp
43.20	0.72	51	1	5	16	per	lib	mod	low	mod	nt	cr	nh/0867_nh.bmp
43.92	0.72	52	1	7	2	per	con	low	low	low	tg	ms	wh/0280.bmp
44.64	0.72	53	1	5	117	per	con	low	mod	low	nt	cr	nh/0883_nh.bmp
45.36	0.72	54	1	8	95	mem	con	low	low	low	nt	ms	nh/0859_nh.bmp
46.08	0.72	55	1	5	81	per	lib	low	mod	low	nt	cr	nh/0756_nh.bmp
46.80	0.72	56	1	6	68	mem	con	mod	mod	mod	nt	ht	nh/0978_nh.bmp
47.52	0.72	57	1	5	18	mem	lib	mod	mod	low	tg	ht	wh/0734.bmp
48.24	0.72	58	2	6	64	mem	lib	mod	mod	mod	nt	ht	nh/0666_nh.bmp
48.96	0.72	59	1	6	12	per	lib	mod	mod	mod	tg	ms	wh/0835.bmp
49.68	0.72	60	1	5	54	per	con	mod	mod	mod	tg	ms	wh/0294.bmp
50.40	0.72	61	1	8	55	per	lib	mod	mod	mod	nt	cr	nh/0599_nh.bmp
51.12	0.72	62	2	5	54	per	con	mod	mod	mod	tg	ms	wh/0294.bmp
51.84	0.72	63	1	5	19	mem	lib	mod	mod	low	tg	ht	wh/0647.bmp
52.56	0.72	64	1	5	26	mem	lib	mod	mod	low	tg	ht	wh/0247.bmp
53.28	0.72	65	1	6	85	mem	con	low	low	mod	nt	ht	nh/0611_nh.bmp
54.00	0.72	66	1	5	119	per	con	low	mod	low	nt	cr	nh/0253_nh.bmp
54.72	0.72	67	1	7	62	per	lib	mod	low	mod	nt	cr	nh/0016_nh.bmp
55.44	0.72	68	1	8	62	per	lib	mod	mod	mod	nt	cr	nh/0833_nh.bmp
56.16	0.72	69	2	5	26	mem	lib	mod	mod	low	tg	ht	wh/0247.bmp
56.88	0.72	70	1	6	80	mem	con	mod	mod	mod	tg	ms	wh/0852.bmp
57.60	0.72	71	1	6	97	per	con	mod	low	mod	tg	ht	wh/0732.bmp
58.32	0.72	72	1	6	71	mem	con	mod	mod	mod	tg	ms	wh/0832.bmp
59.04	0.72	73	1	5	114	per	con	low	mod	low	tg	ms	wh/0863.bmp
59.76	0.72	74	1	8	38	per	con	low	mod	low	tg	ht	wh/0193.bmp
60.48	0.72	75	1	6	13	per	lib	mod	mod	mod	nt	cr	nh/0385_nh.bmp
61.20	0.72	76	1	8	107	mem	lib	mod	mod	low	nt	ms	nh/1019_nh.bmp
61.92	0.72	77	1	7	13	per	con	low	low	low	tg	ms	wh/0570.bmp
62.64	0.72	78	2	8	60	per	lib	mod	mod	mod	tg	ht	wh/0560.bmp
63.36	0.72	79	2	5	121	per	con	low	mod	low	nt	cr	nh/0157_nh.bmp
64.08	0.72	80	1	8	100	mem	lib	mod	mod	low	tg	ht	wh/0678.bmp
64.80	0.72	81	1	8	111	mem	lib	mod	mod	low	tg	ht	wh/0023.bmp
65.52	0.72	82	1	7	87	per	con	mod	mod	mod	nt	cr	nh/0871_nh.bmp
66.24	0.72	83	1	5	84	per	lib	low	mod	low	tg	ht	wh/0114.bmp
66.96	0.72	84	2	8	17	mem	con	mod	mod	low	nt	ht	nh/0780_nh.bmp
67.68	0.72	85	1	5	33	mem	con	mod	mod	low	nt	ms	nh/0172_nh.bmp
68.40	0.72	86	1	5	69	mem	con	low	low	low	nt	ms	nh/0226_nh.bmp
69.12	0.72	87	1	5	115	per	con	low	mod	low	tg	ms	wh/0612.bmp
69.84	0.72	88	2	5	59	per	con	mod	mod	mod	nt	cr	nh/0420_nh.bmp
70.56	0.72	89	1	5	94	per	lib	low	mod	low	tg	ms	wh/0248.bmp
71.28	0.72	90	2	5	19	mem	lib	mod	mod	low	tg	ht	wh/0647.bmp
72.00	0.72	91	1	5	95	per	lib	low	mod	low	nt	cr	nh/0401_nh.bmp
72.72	0.72	92	1	5	43	mem	con	mod	mod	low	tg	ht	wh/0255.bmp
73.44	0.72	93	1	5	20	mem	lib	mod	mod	low	nt	ms	nh/0143_nh.bmp
74.16	0.72	94	2	8	27	mem	con	mod	mod	low	nt	ht	nh/0012_nh.bmp
74.88	0.72	95	2	5	33	mem	con	mod	mod	low	nt	ms	nh/0172_nh.bmp
75.60	0.72	96	1	8	32	mem	con	mod	mod	low	tg	ht	wh/1014.bmp
76.32	0.72	97	1	8	67	per	con	mod	low	mod	tg	ht	wh/0389.bmp
77.04	0.72	98	1	8	40	per	con	low	mod	low	tg	ms	wh/0578.bmp
77.76	0.72	99	1	5	83	per	lib	low	mod	low	nt	fa	nh/0453_nh.bmp
78.48	0.72	100	1	7	7	per	con	low	low	low	tg	ht	wh/0880.bmp
79.20	0.72	101	2	8	126	per	lib	low	mod	low	nt	cr	nh/0491_nh.bmp
79.92	0.72	102	2	8	20	mem	con	mod	mod	low	nt	ht	nh/0139_nh.bmp
80.64	0.72	103	1	6	127	per	con	low	low	low	nt	cr	nh/0728_nh.bmp
81.36	0.72	104	1	8	58	per	lib	mod	mod	mod	tg	ht	wh/0337.bmp
82.08	0.72	105	1	7	70	mem	lib	mod	mod	mod	tg	ms	wh/0717.bmp
82.80	0.72	106	1	8	59	per	lib	mod	mod	mod	nt	fa	nh/0408_nh.bmp
83.52	0.72	107	1	7	85	per	con	mod	mod	mod	nt	cr	nh/0602_nh.bmp
84.24	0.72	108	3	5	33	mem	con	mod	mod	low	nt	ms	nh/0172_nh.bmp
