onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	6	118	mem	lib	mod	mod	mod	tg	ht	wh/0835.bmp
7.92	0.72	2	1	8	123	mem	lib	mod	mod	mod	tg	ms	wh/0995.bmp
8.64	0.72	3	1	7	52	per	con	mod	mod	mod	nt	cr	nh/0971_nh.bmp
9.36	0.72	4	1	6	75	per	con	mod	mod	mod	nt	cr	nh/0544_nh.bmp
10.08	0.72	5	1	7	120	mem	lib	mod	mod	low	nt	ms	nh/0820_nh.bmp
10.80	0.72	6	1	5	51	mem	con	mod	mod	low	tg	ht	wh/0612.bmp
11.52	0.72	7	1	5	53	mem	con	mod	mod	low	nt	ms	nh/0157_nh.bmp
12.24	0.72	8	1	6	86	mem	con	mod	mod	mod	nt	ht	nh/0420_nh.bmp
12.96	0.72	9	1	8	117	mem	lib	mod	mod	mod	tg	ht	wh/0337.bmp
13.68	0.72	10	1	7	87	per	lib	low	mod	low	tg	ht	wh/0018.bmp
14.40	0.72	11	1	6	87	mem	con	mod	mod	mod	nt	ms	nh/0546_nh.bmp
15.12	0.72	12	1	7	49	per	con	mod	mod	mod	tg	ms	wh/0179.bmp
15.84	0.72	13	1	5	65	per	con	mod	low	mod	nt	cr	nh/0839_nh.bmp
16.56	0.72	14	1	7	109	per	lib	mod	mod	mod	tg	ht	wh/0378.bmp
17.28	0.72	15	1	6	74	per	con	mod	mod	mod	nt	cr	nh/0552_nh.bmp
18.00	0.72	16	1	5	60	mem	con	mod	mod	low	nt	ms	nh/0297_nh.bmp
18.72	0.72	17	1	8	122	mem	lib	mod	mod	mod	nt	ht	nh/0797_nh.bmp
19.44	0.72	18	1	6	73	per	con	mod	mod	mod	nt	cr	nh/0978_nh.bmp
20.16	0.72	19	1	7	75	mem	con	low	low	low	tg	ms	wh/0280.bmp
20.88	0.72	20	1	7	31	per	con	low	mod	low	nt	fa	nh/0254_nh.bmp
21.60	0.72	21	1	7	35	mem	con	mod	mod	low	nt	ms	nh/0793_nh.bmp
22.32	0.72	22	1	7	91	per	lib	low	mod	low	nt	fa	nh/1019_nh.bmp
23.04	0.72	23	2	8	117	mem	lib	mod	mod	mod	tg	ht	wh/0337.bmp
23.76	0.72	24	1	6	8	per	lib	mod	mod	mod	tg	ht	wh/0968.bmp
24.48	0.72	25	1	7	125	mem	lib	mod	mod	low	tg	ht	wh/0574.bmp
25.20	0.72	26	1	6	106	per	lib	low	mod	low	nt	fa	nh/0262_nh.bmp
25.92	0.72	27	2	7	35	mem	con	mod	mod	low	nt	ms	nh/0793_nh.bmp
26.64	0.72	28	1	5	122	per	lib	mod	low	mod	tg	ht	wh/0945.bmp
27.36	0.72	29	1	7	25	per	con	low	mod	low	tg	ms	wh/1014.bmp
28.08	0.72	30	1	5	113	per	lib	mod	low	mod	nt	fa	nh/0402_nh.bmp
28.80	0.72	31	2	6	75	per	con	mod	mod	mod	nt	cr	nh/0544_nh.bmp
29.52	0.72	32	1	6	3	per	lib	mod	mod	mod	nt	fa	nh/0666_nh.bmp
30.24	0.72	33	1	8	63	mem	con	mod	mod	mod	nt	ms	nh/0609_nh.bmp
30.96	0.72	34	1	6	102	per	lib	low	mod	low	nt	fa	nh/0108_nh.bmp
31.68	0.72	35	1	8	51	mem	con	mod	mod	mod	tg	ms	wh/0495.bmp
32.40	0.72	36	2	6	87	mem	con	mod	mod	mod	nt	ms	nh/0546_nh.bmp
33.12	0.72	37	1	5	87	per	con	low	low	low	tg	ms	wh/0587.bmp
33.84	0.72	38	1	7	119	mem	lib	mod	mod	low	nt	ht	nh/0491_nh.bmp
34.56	0.72	39	2	5	60	mem	con	mod	mod	low	nt	ms	nh/0297_nh.bmp
35.28	0.72	40	1	6	35	per	con	low	mod	low	nt	cr	nh/0172_nh.bmp
36.00	0.72	41	1	6	36	per	con	low	mod	low	tg	ms	wh/0848.bmp
36.72	0.72	42	1	7	85	per	lib	low	mod	low	tg	ms	wh/0023.bmp
37.44	0.72	43	1	8	60	mem	con	mod	mod	mod	tg	ms	wh/0851.bmp
38.16	0.72	44	1	7	7	mem	lib	low	low	low	nt	ht	nh/0480_nh.bmp
38.88	0.72	45	2	8	63	mem	con	mod	mod	mod	nt	ms	nh/0609_nh.bmp
39.60	0.72	46	1	6	128	mem	lib	mod	mod	mod	nt	ht	nh/0385_nh.bmp
40.32	0.72	47	1	6	33	per	con	low	mod	low	tg	ms	wh/0042.bmp
41.04	0.72	48	2	8	122	mem	lib	mod	mod	mod	nt	ht	nh/0797_nh.bmp
41.76	0.72	49	1	5	61	mem	con	mod	mod	low	tg	ht	wh/0024.bmp
42.48	0.72	50	1	6	83	mem	con	mod	mod	mod	nt	ms	nh/0958_nh.bmp
43.20	0.72	51	1	6	116	mem	lib	mod	mod	mod	nt	ms	nh/0778_nh.bmp
43.92	0.72	52	1	8	25	per	lib	mod	low	mod	tg	ht	wh/0869.bmp
44.64	0.72	53	1	6	79	per	con	mod	mod	mod	tg	ms	wh/0852.bmp
45.36	0.72	54	1	8	127	mem	lib	mod	mod	mod	nt	ht	nh/0408_nh.bmp
46.08	0.72	55	2	7	85	per	lib	low	mod	low	tg	ms	wh/0023.bmp
46.80	0.72	56	2	6	128	mem	lib	mod	mod	mod	nt	ht	nh/0385_nh.bmp
47.52	0.72	57	2	6	118	mem	lib	mod	mod	mod	tg	ht	wh/0835.bmp
48.24	0.72	58	1	7	46	mem	con	mod	mod	low	tg	ms	wh/0374.bmp
48.96	0.72	59	1	7	118	mem	lib	mod	mod	low	tg	n/a	wh/0875.bmp
49.68	0.72	60	1	7	95	per	lib	low	mod	low	tg	ms	wh/0678.bmp
50.40	0.72	61	1	5	36	mem	con	low	low	low	nt	ht	nh/0518_nh.bmp
51.12	0.72	62	1	7	62	per	con	mod	mod	mod	nt	cr	nh/0549_nh.bmp
51.84	0.72	63	1	7	105	per	lib	mod	mod	mod	nt	fa	nh/0239_nh.bmp
