onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	118	mem	lib	mod	mod	mod	tg	ht	wh/0775.bmp
7.92	0.72	2	1	4	123	mem	lib	mod	mod	mod	tg	ht	wh/0534.bmp
8.64	0.72	3	1	3	52	per	con	mod	mod	mod	nt	cr	nh/0580_nh.bmp
9.36	0.72	4	1	2	75	per	con	mod	mod	mod	nt	cr	nh/0600_nh.bmp
10.08	0.72	5	1	3	120	mem	lib	mod	mod	low	nt	ht	nh/0156_nh.bmp
10.80	0.72	6	1	1	51	mem	con	mod	mod	low	tg	ht	wh/0648.bmp
11.52	0.72	7	1	1	53	mem	con	mod	mod	low	nt	ms	nh/0897_nh.bmp
12.24	0.72	8	1	2	86	mem	con	mod	mod	mod	nt	ht	nh/0942_nh.bmp
12.96	0.72	9	1	4	117	mem	lib	mod	mod	mod	tg	ht	wh/0981.bmp
13.68	0.72	10	1	3	87	per	lib	low	mod	low	tg	ht	wh/0019.bmp
14.40	0.72	11	1	2	87	mem	con	mod	mod	mod	nt	ms	nh/0884_nh.bmp
15.12	0.72	12	1	3	49	per	con	mod	mod	mod	tg	ms	wh/0938.bmp
15.84	0.72	13	1	1	65	per	con	mod	low	mod	nt	cr	nh/0272_nh.bmp
16.56	0.72	14	1	3	109	per	lib	mod	mod	mod	tg	ht	wh/0642.bmp
17.28	0.72	15	1	2	74	per	con	mod	mod	mod	nt	cr	nh/0162_nh.bmp
18.00	0.72	16	1	1	60	mem	con	mod	mod	low	nt	ms	nh/0298_nh.bmp
18.72	0.72	17	1	4	122	mem	lib	mod	mod	mod	nt	ht	nh/0801_nh.bmp
19.44	0.72	18	1	2	73	per	con	mod	mod	mod	nt	cr	nh/0596_nh.bmp
20.16	0.72	19	1	3	75	mem	con	low	low	low	tg	ht	wh/0788.bmp
20.88	0.72	20	1	3	31	per	con	low	mod	low	nt	cr	nh/0733_nh.bmp
21.60	0.72	21	1	3	35	mem	con	mod	mod	low	nt	ht	nh/0472_nh.bmp
22.32	0.72	22	1	3	91	per	lib	low	mod	low	nt	fa	nh/0816_nh.bmp
23.04	0.72	23	2	4	117	mem	lib	mod	mod	mod	tg	ht	wh/0981.bmp
23.76	0.72	24	1	2	8	per	lib	mod	mod	mod	tg	ht	wh/0561.bmp
24.48	0.72	25	1	3	125	mem	lib	mod	mod	low	tg	ht	wh/0325.bmp
25.20	0.72	26	1	2	106	per	lib	low	mod	low	nt	fa	nh/0155_nh.bmp
25.92	0.72	27	2	3	35	mem	con	mod	mod	low	nt	ht	nh/0472_nh.bmp
26.64	0.72	28	1	1	122	per	lib	mod	low	mod	tg	ht	wh/0296.bmp
27.36	0.72	29	1	3	25	per	con	low	mod	low	tg	ms	wh/0177.bmp
28.08	0.72	30	1	1	113	per	lib	mod	low	mod	nt	fa	nh/0324_nh.bmp
28.80	0.72	31	2	2	75	per	con	mod	mod	mod	nt	cr	nh/0600_nh.bmp
29.52	0.72	32	1	2	3	per	lib	mod	mod	mod	nt	fa	nh/0698_nh.bmp
30.24	0.72	33	1	4	63	mem	con	mod	mod	mod	nt	ms	nh/0658_nh.bmp
30.96	0.72	34	1	2	102	per	lib	low	mod	low	nt	cr	nh/0515_nh.bmp
31.68	0.72	35	1	4	51	mem	con	mod	mod	mod	tg	ms	wh/0627.bmp
32.40	0.72	36	2	2	87	mem	con	mod	mod	mod	nt	ms	nh/0884_nh.bmp
33.12	0.72	37	1	1	87	per	con	low	low	low	tg	ms	wh/0979.bmp
33.84	0.72	38	1	3	119	mem	lib	mod	mod	low	nt	ms	nh/0766_nh.bmp
34.56	0.72	39	2	1	60	mem	con	mod	mod	low	nt	ms	nh/0298_nh.bmp
35.28	0.72	40	1	2	35	per	con	low	mod	low	nt	cr	nh/0649_nh.bmp
36.00	0.72	41	1	2	36	per	con	low	mod	low	tg	ms	wh/0741.bmp
36.72	0.72	42	1	3	85	per	lib	low	mod	low	tg	ms	wh/0597.bmp
37.44	0.72	43	1	4	60	mem	con	mod	mod	mod	tg	ms	wh/0429.bmp
38.16	0.72	44	1	3	7	mem	lib	low	low	low	nt	ht	nh/0065_nh.bmp
38.88	0.72	45	2	4	63	mem	con	mod	mod	mod	nt	ms	nh/0658_nh.bmp
39.60	0.72	46	1	2	128	mem	lib	mod	mod	mod	nt	ht	nh/0393_nh.bmp
40.32	0.72	47	1	2	33	per	con	low	mod	low	tg	ms	wh/0040.bmp
41.04	0.72	48	2	4	122	mem	lib	mod	mod	mod	nt	ht	nh/0801_nh.bmp
41.76	0.72	49	1	1	61	mem	con	mod	mod	low	tg	ht	wh/0265.bmp
42.48	0.72	50	1	2	83	mem	con	mod	mod	mod	nt	ht	nh/0637_nh.bmp
43.20	0.72	51	1	2	116	mem	lib	mod	mod	mod	nt	ht	nh/0959_nh.bmp
43.92	0.72	52	1	4	25	per	lib	mod	low	mod	tg	ht	wh/0866.bmp
44.64	0.72	53	1	2	79	per	con	mod	mod	mod	tg	ms	wh/0920.bmp
45.36	0.72	54	1	4	127	mem	lib	mod	mod	mod	nt	ms	nh/0605_nh.bmp
46.08	0.72	55	2	3	85	per	lib	low	mod	low	tg	ms	wh/0597.bmp
46.80	0.72	56	2	2	128	mem	lib	mod	mod	mod	nt	ht	nh/0393_nh.bmp
47.52	0.72	57	2	2	118	mem	lib	mod	mod	mod	tg	ht	wh/0775.bmp
48.24	0.72	58	1	3	46	mem	con	mod	mod	low	tg	ms	wh/0233.bmp
48.96	0.72	59	1	3	118	mem	lib	mod	mod	low	tg	ht	wh/0514.bmp
49.68	0.72	60	1	3	95	per	lib	low	mod	low	tg	ht	wh/0997.bmp
50.40	0.72	61	1	1	36	mem	con	low	low	low	nt	ms	nh/0015_nh.bmp
51.12	0.72	62	1	3	62	per	con	mod	mod	mod	nt	cr	nh/0847_nh.bmp
51.84	0.72	63	1	3	105	per	lib	mod	mod	mod	nt	cr	nh/0425_nh.bmp
52.56	0.72	64	1	2	76	per	con	mod	mod	mod	tg	ms	wh/0724.bmp
53.28	0.72	65	1	3	45	mem	con	mod	mod	low	tg	ms	wh/0836.bmp
54.00	0.72	66	1	1	11	mem	lib	mod	mod	low	nt	ms	nh/1021_nh.bmp
54.72	0.72	67	3	3	35	mem	con	mod	mod	low	nt	ht	nh/0472_nh.bmp
55.44	0.72	68	1	4	90	per	con	mod	low	mod	tg	ht	wh/1017.bmp
56.16	0.72	69	1	1	7	mem	lib	mod	mod	low	nt	ht	nh/0727_nh.bmp
56.88	0.72	70	1	2	43	per	con	low	mod	low	tg	ms	wh/0027.bmp
57.60	0.72	71	1	2	92	mem	con	mod	mod	mod	tg	ht	wh/0473.bmp
58.32	0.72	72	2	2	8	per	lib	mod	mod	mod	tg	ht	wh/0561.bmp
59.04	0.72	73	3	2	128	mem	lib	mod	mod	mod	nt	ht	nh/0393_nh.bmp
59.76	0.72	74	1	3	37	mem	con	mod	mod	low	nt	ht	nh/0769_nh.bmp
60.48	0.72	75	1	2	17	mem	lib	low	low	low	nt	ht	nh/0794_nh.bmp
61.20	0.72	76	2	3	91	per	lib	low	mod	low	nt	fa	nh/0816_nh.bmp
61.92	0.72	77	1	2	44	per	con	low	mod	low	nt	cr	nh/0926_nh.bmp
62.64	0.72	78	1	4	58	mem	con	mod	mod	mod	nt	ht	nh/0289_nh.bmp
63.36	0.72	79	4	3	35	mem	con	mod	mod	low	nt	ht	nh/0472_nh.bmp
64.08	0.72	80	1	3	82	per	lib	low	mod	low	tg	ht	wh/0377.bmp
64.80	0.72	81	1	2	66	per	con	mod	mod	mod	tg	ms	wh/0526.bmp
65.52	0.72	82	1	2	122	mem	lib	mod	mod	mod	tg	ht	wh/0189.bmp
66.24	0.72	83	2	2	86	mem	con	mod	mod	mod	nt	ht	nh/0942_nh.bmp
66.96	0.72	84	1	3	63	per	con	mod	mod	mod	tg	ms	wh/0919.bmp
