onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	32	mem	con	mod	mod	mod	nt	ms	nh/0604_nh.bmp
7.92	0.72	2	1	1	55	per	lib	low	mod	low	nt	cr	nh/0291_nh.bmp
8.64	0.72	3	1	1	58	per	lib	low	mod	low	tg	ht	wh/0798.bmp
9.36	0.72	4	1	4	47	mem	lib	mod	mod	mod	tg	ht	wh/0645.bmp
10.08	0.72	5	1	2	89	per	con	low	mod	low	tg	ms	wh/0643.bmp
10.80	0.72	6	1	1	22	per	lib	mod	low	mod	nt	cr	nh/0457_nh.bmp
11.52	0.72	7	1	2	93	per	con	low	mod	low	nt	cr	nh/0512_nh.bmp
12.24	0.72	8	1	1	100	mem	con	mod	mod	low	tg	ht	wh/0400.bmp
12.96	0.72	9	1	4	22	per	lib	mod	low	mod	nt	fa	nh/0991_nh.bmp
13.68	0.72	10	1	4	9	per	con	mod	mod	mod	nt	cr	nh/0413_nh.bmp
14.40	0.72	11	1	4	62	mem	con	mod	mod	low	tg	ms	wh/0671.bmp
15.12	0.72	12	1	2	128	per	con	mod	mod	mod	tg	ms	wh/0759.bmp
15.84	0.72	13	1	4	100	per	con	low	mod	low	nt	cr	nh/0511_nh.bmp
16.56	0.72	14	1	3	92	per	lib	mod	mod	mod	tg	ht	wh/0487.bmp
17.28	0.72	15	1	3	94	per	lib	mod	mod	mod	nt	fa	nh/0320_nh.bmp
18.00	0.72	16	1	2	41	mem	lib	mod	mod	mod	nt	ht	nh/0229_nh.bmp
18.72	0.72	17	1	2	58	per	lib	mod	mod	mod	tg	ht	wh/0753.bmp
19.44	0.72	18	1	2	29	mem	con	mod	mod	mod	nt	ms	nh/0931_nh.bmp
20.16	0.72	19	1	4	103	per	con	low	mod	low	tg	ms	wh/0323.bmp
20.88	0.72	20	1	4	6	per	con	mod	mod	mod	nt	cr	nh/0983_nh.bmp
21.60	0.72	21	1	1	102	mem	con	mod	mod	low	tg	ms	wh/0195.bmp
22.32	0.72	22	1	2	62	per	lib	mod	mod	mod	nt	cr	nh/0705_nh.bmp
23.04	0.72	23	1	2	113	per	con	mod	mod	mod	nt	cr	nh/0477_nh.bmp
23.76	0.72	24	1	3	77	mem	lib	mod	mod	low	nt	ht	nh/0293_nh.bmp
24.48	0.72	25	1	4	72	mem	lib	low	low	low	tg	ht	wh/0535.bmp
25.20	0.72	26	1	2	37	mem	lib	mod	mod	mod	tg	ht	wh/0689.bmp
25.92	0.72	27	1	4	51	mem	con	mod	mod	low	nt	ht	nh/0302_nh.bmp
26.64	0.72	28	1	4	125	mem	con	low	low	mod	tg	ms	wh/0773.bmp
27.36	0.72	29	1	2	96	per	con	low	mod	low	nt	cr	nh/0976_nh.bmp
28.08	0.72	30	2	4	9	per	con	mod	mod	mod	nt	cr	nh/0413_nh.bmp
28.80	0.72	31	1	1	38	per	con	mod	low	mod	nt	cr	nh/0192_nh.bmp
29.52	0.72	32	2	1	55	per	lib	low	mod	low	nt	cr	nh/0291_nh.bmp
30.24	0.72	33	1	3	54	mem	con	mod	mod	mod	nt	ms	nh/0333_nh.bmp
30.96	0.72	34	1	3	4	mem	lib	low	low	mod	nt	ms	nh/0033_nh.bmp
31.68	0.72	35	1	2	66	mem	con	low	low	low	tg	ms	wh/0720.bmp
32.40	0.72	36	1	2	30	mem	con	mod	mod	mod	tg	ms	wh/0061.bmp
33.12	0.72	37	1	2	40	mem	lib	mod	mod	mod	tg	ht	wh/0806.bmp
33.84	0.72	38	1	1	1	per	con	low	low	low	nt	cr	nh/0565_nh.bmp
34.56	0.72	39	1	1	96	mem	lib	mod	mod	low	nt	ht	nh/0246_nh.bmp
35.28	0.72	40	1	4	91	per	lib	low	mod	low	tg	ht	wh/0494.bmp
36.00	0.72	41	1	3	53	mem	con	mod	mod	mod	tg	ht	wh/0359.bmp
36.72	0.72	42	1	3	70	mem	lib	mod	mod	low	tg	ht	wh/0765.bmp
37.44	0.72	43	3	1	55	per	lib	low	mod	low	nt	cr	nh/0291_nh.bmp
38.16	0.72	44	1	4	82	per	lib	low	mod	low	tg	ms	wh/0007.bmp
38.88	0.72	45	1	1	54	per	lib	low	mod	low	tg	ht	wh/0424.bmp
39.60	0.72	46	1	1	113	mem	lib	low	low	low	tg	ht	wh/0743.bmp
40.32	0.72	47	1	2	86	per	con	low	mod	low	tg	ms	wh/0757.bmp
41.04	0.72	48	1	1	85	mem	lib	mod	mod	low	nt	ht	nh/0166_nh.bmp
41.76	0.72	49	1	2	33	mem	lib	mod	mod	mod	tg	ht	wh/0592.bmp
42.48	0.72	50	1	1	107	mem	con	mod	mod	low	nt	ht	nh/0641_nh.bmp
43.20	0.72	51	1	2	119	per	con	mod	mod	mod	tg	ht	wh/0834.bmp
43.92	0.72	52	1	4	61	mem	con	mod	mod	low	nt	ms	nh/0882_nh.bmp
44.64	0.72	53	1	4	69	mem	lib	low	low	low	nt	ht	nh/0169_nh.bmp
45.36	0.72	54	1	2	50	per	lib	mod	mod	mod	nt	fa	nh/0151_nh.bmp
46.08	0.72	55	1	4	99	per	con	low	mod	low	nt	cr	nh/0124_nh.bmp
46.80	0.72	56	1	1	90	mem	lib	mod	mod	low	tg	ht	wh/0575.bmp
47.52	0.72	57	1	3	61	mem	con	mod	mod	mod	nt	ht	nh/0562_nh.bmp
48.24	0.72	58	1	3	81	per	lib	mod	mod	mod	nt	cr	nh/0901_nh.bmp
48.96	0.72	59	2	2	40	mem	lib	mod	mod	mod	tg	ht	wh/0806.bmp
49.68	0.72	60	1	4	98	per	con	low	mod	low	nt	cr	nh/0661_nh.bmp
50.40	0.72	61	1	3	18	per	con	low	low	low	tg	ms	wh/0167.bmp
51.12	0.72	62	1	2	115	per	con	mod	mod	mod	tg	ht	wh/0358.bmp
51.84	0.72	63	2	2	37	mem	lib	mod	mod	mod	tg	ht	wh/0689.bmp
52.56	0.72	64	1	4	12	per	con	mod	mod	mod	nt	cr	nh/0104_nh.bmp
53.28	0.72	65	1	1	39	per	con	mod	low	mod	tg	ms	wh/0214.bmp
54.00	0.72	66	1	3	100	mem	con	low	low	low	nt	ms	nh/0011_nh.bmp
54.72	0.72	67	1	4	65	mem	lib	low	low	low	tg	ht	wh/0078.bmp
55.44	0.72	68	1	2	49	per	lib	mod	mod	mod	tg	ht	wh/0282.bmp
56.16	0.72	69	1	3	60	mem	con	mod	mod	mod	tg	ht	wh/0097.bmp
