onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	7	99	mem	lib	mod	mod	mod	tg	ht	wh/0060.bmp
7.92	0.72	2	1	5	106	mem	lib	low	low	low	nt	ht	nh/0617_nh.bmp
8.64	0.72	3	1	7	9	per	lib	low	mod	low	nt	cr	nh/0521_nh.bmp
9.36	0.72	4	1	7	13	per	lib	low	mod	low	nt	fa	nh/0172_nh.bmp
10.08	0.72	5	1	7	14	per	lib	low	mod	low	nt	cr	nh/0450_nh.bmp
10.80	0.72	6	1	5	93	per	con	mod	mod	mod	tg	ht	wh/0717.bmp
11.52	0.72	7	1	5	32	mem	con	mod	mod	mod	nt	ms	nh/0599_nh.bmp
12.24	0.72	8	1	6	74	per	lib	low	low	low	nt	fa	nh/0859_nh.bmp
12.96	0.72	9	1	7	89	mem	lib	low	low	low	nt	ht	nh/0518_nh.bmp
13.68	0.72	10	1	8	9	mem	con	mod	mod	low	nt	ms	nh/0394_nh.bmp
14.40	0.72	11	1	6	108	per	con	mod	low	mod	nt	cr	nh/0188_nh.bmp
15.12	0.72	12	1	7	34	per	con	mod	mod	mod	nt	cr	nh/0275_nh.bmp
15.84	0.72	13	1	5	88	per	con	mod	mod	mod	nt	cr	nh/0556_nh.bmp
16.56	0.72	14	1	8	42	per	lib	mod	mod	mod	tg	ht	wh/0586.bmp
17.28	0.72	15	1	8	54	mem	con	low	low	low	nt	ht	nh/0258_nh.bmp
18.00	0.72	16	1	5	17	mem	con	mod	mod	mod	tg	ht	wh/0337.bmp
18.72	0.72	17	1	8	13	mem	con	mod	mod	low	nt	ht	nh/0756_nh.bmp
19.44	0.72	18	1	7	58	per	lib	mod	low	mod	tg	ht	wh/0046.bmp
20.16	0.72	19	1	8	15	mem	con	mod	mod	low	tg	ht	wh/0176.bmp
20.88	0.72	20	1	7	75	mem	con	mod	mod	mod	nt	ht	nh/0385_nh.bmp
21.60	0.72	21	1	7	25	per	con	low	mod	low	tg	ms	wh/0734.bmp
22.32	0.72	22	1	8	45	per	lib	mod	mod	mod	nt	cr	nh/0552_nh.bmp
23.04	0.72	23	1	5	47	mem	lib	mod	mod	mod	tg	ht	wh/0715.bmp
23.76	0.72	24	1	7	80	mem	con	mod	mod	mod	nt	ht	nh/0399_nh.bmp
24.48	0.72	25	2	7	99	mem	lib	mod	mod	mod	tg	ht	wh/0060.bmp
25.20	0.72	26	1	7	5	per	lib	low	mod	low	tg	ht	wh/0939.bmp
25.92	0.72	27	1	7	106	mem	lib	mod	mod	mod	nt	ht	nh/0546_nh.bmp
26.64	0.72	28	1	5	69	per	lib	low	mod	low	nt	fa	nh/0012_nh.bmp
27.36	0.72	29	1	7	108	mem	lib	mod	mod	mod	nt	ht	nh/0958_nh.bmp
28.08	0.72	30	1	8	109	mem	lib	low	low	mod	nt	ht	nh/0084_nh.bmp
28.80	0.72	31	1	5	5	mem	con	low	low	mod	tg	n/a	wh/0545.bmp
29.52	0.72	32	1	5	29	mem	con	mod	mod	mod	tg	ms	wh/0995.bmp
30.24	0.72	33	1	8	24	mem	lib	mod	mod	low	nt	ht	nh/0157_nh.bmp
30.96	0.72	34	1	7	67	mem	con	mod	mod	mod	tg	ms	wh/0086.bmp
31.68	0.72	35	1	8	68	per	lib	low	low	low	tg	ht	wh/0089.bmp
32.40	0.72	36	1	5	80	per	lib	low	mod	low	tg	ht	wh/1014.bmp
33.12	0.72	37	1	6	38	mem	lib	mod	mod	low	nt	ht	nh/0746_nh.bmp
33.84	0.72	38	1	7	23	per	con	low	mod	low	nt	cr	nh/0249_nh.bmp
34.56	0.72	39	1	6	62	mem	con	low	low	low	tg	ms	wh/0268.bmp
35.28	0.72	40	2	8	24	mem	lib	mod	mod	low	nt	ht	nh/0157_nh.bmp
36.00	0.72	41	1	8	87	per	con	low	low	low	nt	cr	nh/0737_nh.bmp
36.72	0.72	42	1	5	76	per	lib	low	mod	low	nt	fa	nh/0254_nh.bmp
37.44	0.72	43	1	5	125	per	con	low	mod	low	nt	cr	nh/0170_nh.bmp
38.16	0.72	44	2	5	125	per	con	low	mod	low	nt	cr	nh/0170_nh.bmp
38.88	0.72	45	1	5	71	per	lib	low	mod	low	nt	fa	nh/0139_nh.bmp
39.60	0.72	46	1	5	24	mem	con	mod	mod	mod	nt	ms	nh/0833_nh.bmp
40.32	0.72	47	1	8	17	mem	lib	mod	mod	low	nt	ht	nh/0883_nh.bmp
41.04	0.72	48	1	5	122	per	con	low	mod	low	tg	ms	wh/0618.bmp
