onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	2	29	per	con	mod	mod	mod	nt	cr	nh/0959_nh.bmp
7.92	0.72	2	1	3	48	mem	lib	mod	mod	mod	nt	ht	nh/0287_nh.bmp
8.64	0.72	3	1	3	36	mem	lib	mod	mod	mod	nt	ht	nh/0580_nh.bmp
9.36	0.72	4	1	1	121	per	con	low	low	low	tg	ht	wh/0121.bmp
10.08	0.72	5	1	4	43	mem	lib	low	low	mod	tg	ms	wh/0977.bmp
10.80	0.72	6	1	1	45	mem	con	mod	mod	mod	tg	ms	wh/0841.bmp
11.52	0.72	7	1	1	11	mem	con	low	low	mod	nt	ms	nh/0087_nh.bmp
12.24	0.72	8	1	4	83	per	lib	mod	mod	mod	tg	ht	wh/0429.bmp
12.96	0.72	9	1	4	112	mem	con	mod	mod	low	tg	ht	wh/0597.bmp
13.68	0.72	10	1	3	44	mem	lib	mod	mod	mod	nt	ht	nh/0878_nh.bmp
14.40	0.72	11	1	2	12	mem	lib	mod	mod	low	tg	ht	wh/0115.bmp
15.12	0.72	12	1	1	99	per	lib	mod	mod	mod	tg	ms	wh/0750.bmp
15.84	0.72	13	1	4	120	per	lib	low	mod	low	tg	ht	wh/0251.bmp
16.56	0.72	14	2	4	112	mem	con	mod	mod	low	tg	ht	wh/0597.bmp
17.28	0.72	15	1	2	68	per	lib	low	mod	low	tg	ms	wh/0932.bmp
18.00	0.72	16	1	2	4	mem	lib	mod	mod	low	tg	ht	wh/0741.bmp
18.72	0.72	17	1	1	112	per	lib	mod	mod	mod	nt	cr	nh/0679_nh.bmp
19.44	0.72	18	1	2	58	per	con	low	mod	low	nt	cr	nh/0200_nh.bmp
20.16	0.72	19	1	4	101	mem	con	mod	mod	low	tg	ht	wh/0019.bmp
20.88	0.72	20	1	1	42	mem	con	mod	mod	mod	nt	ht	nh/0463_nh.bmp
21.60	0.72	21	1	3	9	per	con	mod	mod	mod	tg	ht	wh/0466.bmp
22.32	0.72	22	1	4	106	mem	con	mod	mod	low	tg	ms	wh/0377.bmp
23.04	0.72	23	1	2	70	per	lib	low	mod	low	nt	cr	nh/0298_nh.bmp
23.76	0.72	24	1	3	19	mem	con	mod	mod	mod	nt	ht	nh/0955_nh.bmp
24.48	0.72	25	1	2	73	per	lib	low	mod	low	tg	ms	wh/0265.bmp
25.20	0.72	26	1	2	93	mem	con	mod	mod	low	tg	ms	wh/0392.bmp
25.92	0.72	27	1	2	20	per	con	mod	mod	mod	tg	ms	wh/0274.bmp
26.64	0.72	28	2	2	93	mem	con	mod	mod	low	tg	ms	wh/0392.bmp
27.36	0.72	29	1	4	97	mem	con	mod	mod	low	tg	ms	wh/0997.bmp
28.08	0.72	30	1	1	39	mem	con	mod	mod	mod	nt	ms	nh/0698_nh.bmp
28.80	0.72	31	1	1	28	mem	lib	low	low	low	tg	ht	wh/0008.bmp
29.52	0.72	32	1	1	93	mem	lib	mod	mod	mod	nt	ms	nh/0162_nh.bmp
30.24	0.72	33	2	3	9	per	con	mod	mod	mod	tg	ht	wh/0466.bmp
30.96	0.72	34	1	4	8	per	con	low	mod	low	nt	cr	nh/0766_nh.bmp
31.68	0.72	35	1	2	26	per	con	mod	mod	mod	nt	cr	nh/0017_nh.bmp
32.40	0.72	36	1	1	84	mem	lib	mod	mod	mod	tg	ht	wh/0002.bmp
33.12	0.72	37	3	2	93	mem	con	mod	mod	low	tg	ms	wh/0392.bmp
33.84	0.72	38	1	4	118	per	lib	low	mod	low	nt	cr	nh/0472_nh.bmp
34.56	0.72	39	1	4	86	per	lib	mod	mod	mod	tg	ht	wh/0627.bmp
35.28	0.72	40	1	3	33	mem	lib	mod	mod	mod	nt	ht	nh/0847_nh.bmp
36.00	0.72	41	1	3	32	mem	con	mod	mod	mod	tg	ms	wh/0896.bmp
36.72	0.72	42	1	3	101	per	con	low	low	low	nt	fa	nh/0307_nh.bmp
37.44	0.72	43	2	1	112	per	lib	mod	mod	mod	nt	cr	nh/0679_nh.bmp
38.16	0.72	44	1	3	121	per	lib	mod	low	mod	tg	ht	wh/0898.bmp
38.88	0.72	45	2	1	84	mem	lib	mod	mod	mod	tg	ht	wh/0002.bmp
39.60	0.72	46	1	4	127	per	lib	low	mod	low	tg	ms	wh/0624.bmp
40.32	0.72	47	1	4	13	per	con	low	mod	low	nt	cr	nh/0156_nh.bmp
41.04	0.72	48	1	2	2	mem	lib	mod	mod	low	nt	ht	nh/0649_nh.bmp
41.76	0.72	49	1	4	49	mem	lib	mod	mod	low	tg	ht	wh/0675.bmp
42.48	0.72	50	2	2	12	mem	lib	mod	mod	low	tg	ht	wh/0115.bmp
43.20	0.72	51	1	4	62	mem	lib	mod	mod	low	tg	ht	wh/0177.bmp
43.92	0.72	52	1	2	56	per	con	low	mod	low	nt	cr	nh/0116_nh.bmp
44.64	0.72	53	1	2	99	mem	lib	low	low	mod	nt	ht	nh/0696_nh.bmp
45.36	0.72	54	1	1	92	mem	lib	mod	mod	mod	tg	ht	wh/0526.bmp
46.08	0.72	55	1	1	101	per	lib	mod	mod	mod	nt	fa	nh/0942_nh.bmp
46.80	0.72	56	1	4	3	per	con	low	mod	low	tg	ms	wh/0231.bmp
47.52	0.72	57	1	4	53	mem	lib	mod	mod	low	tg	ht	wh/0739.bmp
48.24	0.72	58	1	4	81	per	lib	mod	mod	mod	nt	fa	nh/0899_nh.bmp
48.96	0.72	59	1	4	99	mem	con	mod	mod	low	nt	ms	nh/0066_nh.bmp
49.68	0.72	60	1	3	15	per	con	mod	mod	mod	nt	cr	nh/0801_nh.bmp
50.40	0.72	61	1	2	11	mem	lib	mod	mod	low	nt	ht	nh/0014_nh.bmp
51.12	0.72	62	2	4	62	mem	lib	mod	mod	low	tg	ht	wh/0177.bmp
51.84	0.72	63	1	3	93	mem	lib	low	low	low	nt	ht	nh/0028_nh.bmp
52.56	0.72	64	1	4	59	mem	lib	mod	mod	low	nt	ht	nh/0733_nh.bmp
53.28	0.72	65	1	2	78	per	lib	low	mod	low	tg	ms	wh/0105.bmp
54.00	0.72	66	2	2	73	per	lib	low	mod	low	tg	ms	wh/0265.bmp
54.72	0.72	67	2	4	3	per	con	low	mod	low	tg	ms	wh/0231.bmp
55.44	0.72	68	2	2	29	per	con	mod	mod	mod	nt	cr	nh/0959_nh.bmp
56.16	0.72	69	1	1	40	mem	con	mod	mod	mod	nt	ht	nh/0965_nh.bmp
56.88	0.72	70	1	4	95	per	lib	mod	mod	mod	nt	cr	nh/0289_nh.bmp
57.60	0.72	71	1	1	15	mem	con	low	low	mod	nt	ms	nh/0324_nh.bmp
58.32	0.72	72	1	4	126	per	lib	low	mod	low	nt	fa	nh/0573_nh.bmp
59.04	0.72	73	2	4	86	per	lib	mod	mod	mod	tg	ht	wh/0627.bmp
59.76	0.72	74	1	2	22	per	con	mod	mod	mod	tg	ht	wh/0775.bmp
60.48	0.72	75	1	2	18	per	con	mod	mod	mod	nt	cr	nh/0975_nh.bmp
61.20	0.72	76	1	1	88	mem	lib	mod	mod	mod	tg	ht	wh/0920.bmp
61.92	0.72	77	1	2	30	per	con	mod	mod	mod	tg	ht	wh/0189.bmp
62.64	0.72	78	1	1	85	mem	lib	mod	mod	mod	nt	ht	nh/0600_nh.bmp
63.36	0.72	79	1	4	107	mem	con	mod	mod	low	nt	ms	nh/0128_nh.bmp
64.08	0.72	80	1	1	122	per	con	low	low	low	nt	cr	nh/0423_nh.bmp
64.80	0.72	81	2	1	92	mem	lib	mod	mod	mod	tg	ht	wh/0526.bmp
65.52	0.72	82	2	3	44	mem	lib	mod	mod	mod	nt	ht	nh/0878_nh.bmp
66.24	0.72	83	1	2	98	mem	lib	low	low	mod	nt	ht	nh/0272_nh.bmp
66.96	0.72	84	2	4	120	per	lib	low	mod	low	tg	ht	wh/0251.bmp
67.68	0.72	85	1	1	48	mem	con	mod	mod	mod	tg	ht	wh/0204.bmp
68.40	0.72	86	1	1	90	mem	lib	mod	mod	mod	nt	ht	nh/0879_nh.bmp
69.12	0.72	87	1	3	77	mem	con	low	low	low	tg	ms	wh/0054.bmp
