onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	1	58	per	con	low	mod	low	tg	ms	wh/0444.bmp
7.92	0.72	2	1	4	124	per	lib	mod	mod	mod	nt	cr	nh/0358_nh.bmp
8.64	0.72	3	1	4	19	per	con	mod	mod	mod	tg	ht	wh/0151.bmp
9.36	0.72	4	1	2	101	mem	lib	mod	mod	mod	nt	ht	nh/0359_nh.bmp
10.08	0.72	5	1	4	42	per	con	low	mod	low	tg	ht	wh/0291.bmp
10.80	0.72	6	1	2	111	mem	lib	mod	mod	mod	tg	ht	wh/0333.bmp
11.52	0.72	7	1	2	52	mem	con	mod	mod	mod	nt	ms	nh/0665_nh.bmp
12.24	0.72	8	1	1	51	per	con	low	mod	low	tg	ms	wh/0295.bmp
12.96	0.72	9	1	3	107	mem	lib	mod	mod	mod	nt	ht	nh/0427_nh.bmp
13.68	0.72	10	1	3	112	mem	lib	mod	mod	mod	tg	ht	wh/0365.bmp
14.40	0.72	11	1	1	3	mem	con	mod	mod	low	nt	ht	nh/0438_nh.bmp
15.12	0.72	12	1	4	103	mem	con	mod	mod	mod	tg	ht	wh/0448.bmp
15.84	0.72	13	1	4	69	mem	lib	mod	mod	low	nt	ht	nh/0400_nh.bmp
16.56	0.72	14	2	4	69	mem	lib	mod	mod	low	nt	ht	nh/0400_nh.bmp
17.28	0.72	15	1	4	88	per	lib	low	mod	low	tg	ht	wh/0512.bmp
18.00	0.72	16	1	4	66	mem	lib	mod	mod	low	nt	ht	nh/0283_nh.bmp
18.72	0.72	17	1	1	83	mem	lib	mod	mod	low	nt	n/a	nh/0671_nh.bmp
19.44	0.72	18	1	4	79	mem	lib	mod	mod	low	nt	ms	nh/1000_nh.bmp
20.16	0.72	19	1	1	57	per	con	low	mod	low	tg	ms	wh/0415.bmp
20.88	0.72	20	1	1	61	per	con	low	mod	low	nt	cr	nh/0791_nh.bmp
21.60	0.72	21	1	3	109	mem	lib	mod	mod	mod	nt	ms	nh/0061_nh.bmp
22.32	0.72	22	1	2	51	mem	con	mod	mod	mod	tg	ht	wh/0796.bmp
23.04	0.72	23	1	2	47	per	lib	mod	mod	mod	nt	cr	nh/0674_nh.bmp
23.76	0.72	24	1	1	127	per	con	mod	mod	mod	tg	ht	wh/0742.bmp
24.48	0.72	25	1	4	48	per	con	low	mod	low	nt	cr	nh/0424_nh.bmp
25.20	0.72	26	1	4	113	per	lib	mod	mod	mod	nt	cr	nh/0759_nh.bmp
25.92	0.72	27	1	2	60	mem	con	mod	mod	mod	tg	ms	wh/0738.bmp
26.64	0.72	28	1	4	37	per	con	low	mod	low	nt	cr	nh/0236_nh.bmp
27.36	0.72	29	1	1	59	per	con	low	mod	low	nt	cr	nh/0494_nh.bmp
28.08	0.72	30	1	1	41	mem	con	low	low	low	nt	ms	nh/0078_nh.bmp
28.80	0.72	31	1	1	116	per	con	mod	mod	mod	tg	ht	wh/0320.bmp
29.52	0.72	32	1	2	100	mem	lib	mod	mod	mod	tg	ht	wh/0562.bmp
30.24	0.72	33	2	2	51	mem	con	mod	mod	mod	tg	ht	wh/0796.bmp
30.96	0.72	34	1	2	65	per	lib	low	low	low	tg	ht	wh/0327.bmp
31.68	0.72	35	1	4	1	mem	lib	low	low	mod	tg	ms	wh/0606.bmp
32.40	0.72	36	1	2	46	per	lib	mod	mod	mod	nt	cr	nh/0583_nh.bmp
33.12	0.72	37	1	2	99	mem	lib	mod	mod	mod	tg	ms	wh/0628.bmp
33.84	0.72	38	1	2	61	mem	con	mod	mod	mod	tg	ms	wh/0961.bmp
34.56	0.72	39	2	4	66	mem	lib	mod	mod	low	nt	ht	nh/0283_nh.bmp
35.28	0.72	40	2	4	37	per	con	low	mod	low	nt	cr	nh/0236_nh.bmp
36.00	0.72	41	2	1	3	mem	con	mod	mod	low	nt	ht	nh/0438_nh.bmp
