onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	8	20	per	con	mod	mod	mod	tg	ht	wh/0187.bmp
7.92	0.72	2	1	6	121	per	lib	mod	mod	mod	tg	ht	wh/0772.bmp
8.64	0.72	3	1	8	7	per	con	low	mod	low	nt	cr	nh/0355_nh.bmp
9.36	0.72	4	1	6	78	mem	con	mod	mod	low	tg	ms	wh/0489.bmp
10.08	0.72	5	1	5	115	per	lib	mod	low	mod	tg	ht	wh/1018.bmp
10.80	0.72	6	1	5	93	per	con	mod	mod	mod	nt	fa	nh/0805_nh.bmp
11.52	0.72	7	1	5	51	per	lib	low	mod	low	nt	fa	nh/0690_nh.bmp
12.24	0.72	8	1	5	64	per	lib	low	mod	low	tg	ms	wh/0232.bmp
12.96	0.72	9	1	6	66	mem	con	mod	mod	low	nt	ms	nh/0508_nh.bmp
13.68	0.72	10	1	6	52	mem	lib	mod	mod	mod	nt	ht	nh/0748_nh.bmp
14.40	0.72	11	1	7	128	mem	lib	mod	mod	low	nt	ht	nh/0934_nh.bmp
15.12	0.72	12	1	8	83	mem	lib	mod	mod	mod	nt	ht	nh/0684_nh.bmp
15.84	0.72	13	1	6	62	mem	lib	mod	mod	mod	nt	ht	nh/0962_nh.bmp
16.56	0.72	14	1	5	122	per	lib	mod	low	mod	nt	fa	nh/0949_nh.bmp
17.28	0.72	15	1	8	16	per	con	low	mod	low	tg	ms	wh/0351.bmp
18.00	0.72	16	1	8	114	mem	con	mod	mod	low	tg	ms	wh/0074.bmp
18.72	0.72	17	1	6	51	mem	lib	mod	mod	mod	tg	ht	wh/0339.bmp
19.44	0.72	18	1	7	124	mem	lib	mod	mod	low	tg	ht	wh/0082.bmp
20.16	0.72	19	1	6	3	per	con	low	mod	low	tg	ms	wh/0284.bmp
20.88	0.72	20	1	8	128	mem	con	mod	mod	low	nt	ms	nh/0383_nh.bmp
21.60	0.72	21	1	5	55	per	lib	low	mod	low	tg	ht	wh/0036.bmp
22.32	0.72	22	1	6	60	mem	lib	mod	mod	mod	tg	ht	wh/0558.bmp
23.04	0.72	23	1	8	96	mem	lib	mod	mod	mod	tg	ht	wh/0328.bmp
23.76	0.72	24	1	5	112	mem	lib	low	low	low	nt	ht	nh/0488_nh.bmp
24.48	0.72	25	1	7	85	per	lib	low	mod	low	nt	cr	nh/0963_nh.bmp
25.20	0.72	26	1	8	2	per	con	low	mod	low	nt	cr	nh/0404_nh.bmp
25.92	0.72	27	1	7	109	per	lib	mod	mod	mod	nt	fa	nh/0099_nh.bmp
26.64	0.72	28	2	6	66	mem	con	mod	mod	low	nt	ms	nh/0508_nh.bmp
27.36	0.72	29	1	5	21	mem	con	mod	mod	mod	nt	ms	nh/0784_nh.bmp
28.08	0.72	30	1	8	125	mem	con	mod	mod	low	tg	ms	wh/0190.bmp
28.80	0.72	31	1	7	126	mem	lib	mod	mod	low	tg	ht	wh/0608.bmp
29.52	0.72	32	1	6	126	per	lib	mod	mod	mod	nt	fa	nh/0909_nh.bmp
30.24	0.72	33	2	8	125	mem	con	mod	mod	low	tg	ms	wh/0190.bmp
30.96	0.72	34	1	5	29	mem	con	mod	mod	mod	nt	ms	nh/0447_nh.bmp
31.68	0.72	35	1	5	6	mem	lib	mod	mod	low	tg	ht	wh/0079.bmp
32.40	0.72	36	1	7	63	mem	con	mod	mod	mod	tg	ht	wh/0954.bmp
33.12	0.72	37	1	6	80	mem	con	mod	mod	low	nt	ms	nh/0568_nh.bmp
33.84	0.72	38	1	5	103	mem	lib	low	low	low	nt	ht	nh/0215_nh.bmp
34.56	0.72	39	1	6	73	mem	con	mod	mod	low	tg	ht	wh/0619.bmp
35.28	0.72	40	1	8	90	mem	lib	mod	mod	mod	nt	ht	nh/0380_nh.bmp
36.00	0.72	41	2	6	51	mem	lib	mod	mod	mod	tg	ht	wh/0339.bmp
36.72	0.72	42	1	6	117	per	lib	mod	mod	mod	tg	ht	wh/0540.bmp
37.44	0.72	43	1	5	34	per	con	low	low	low	nt	cr	nh/0768_nh.bmp
38.16	0.72	44	1	7	50	mem	con	mod	mod	mod	tg	ht	wh/0697.bmp
38.88	0.72	45	1	7	88	per	lib	low	mod	low	nt	fa	nh/0194_nh.bmp
39.60	0.72	46	1	8	35	mem	lib	low	low	mod	nt	ht	nh/0306_nh.bmp
40.32	0.72	47	1	7	115	mem	lib	mod	mod	low	tg	ht	wh/0964.bmp
41.04	0.72	48	2	5	64	per	lib	low	mod	low	tg	ms	wh/0232.bmp
41.76	0.72	49	1	5	4	mem	lib	mod	mod	low	nt	ht	nh/0417_nh.bmp
42.48	0.72	50	1	7	123	mem	lib	mod	mod	low	nt	ht	nh/0123_nh.bmp
43.20	0.72	51	1	7	94	per	lib	low	mod	low	tg	ms	wh/0032.bmp
43.92	0.72	52	1	8	32	per	con	mod	mod	mod	tg	ms	wh/0319.bmp
44.64	0.72	53	1	8	43	mem	lib	low	low	mod	tg	ht	wh/0626.bmp
45.36	0.72	54	1	7	64	mem	con	mod	mod	mod	tg	ms	wh/0876.bmp
46.08	0.72	55	2	7	128	mem	lib	mod	mod	low	nt	ht	nh/0934_nh.bmp
46.80	0.72	56	1	8	82	mem	lib	mod	mod	mod	nt	ht	nh/0795_nh.bmp
47.52	0.72	57	1	5	58	per	lib	low	mod	low	tg	ht	wh/0077.bmp
48.24	0.72	58	1	8	65	mem	con	low	low	mod	tg	ms	wh/0933.bmp
48.96	0.72	59	1	8	84	mem	lib	mod	mod	mod	tg	ht	wh/0398.bmp
49.68	0.72	60	2	6	60	mem	lib	mod	mod	mod	tg	ht	wh/0558.bmp
50.40	0.72	61	1	7	89	per	lib	low	mod	low	nt	fa	nh/0035_nh.bmp
51.12	0.72	62	3	6	66	mem	con	mod	mod	low	nt	ms	nh/0508_nh.bmp
51.84	0.72	63	2	8	84	mem	lib	mod	mod	mod	tg	ht	wh/0398.bmp
52.56	0.72	64	1	7	103	per	lib	mod	mod	mod	nt	fa	nh/0714_nh.bmp
53.28	0.72	65	2	8	83	mem	lib	mod	mod	mod	nt	ht	nh/0684_nh.bmp
54.00	0.72	66	1	8	19	per	con	mod	mod	mod	nt	cr	nh/0222_nh.bmp
54.72	0.72	67	1	8	5	per	con	low	mod	low	nt	cr	nh/0744_nh.bmp
55.44	0.72	68	1	8	89	mem	lib	mod	mod	mod	tg	ht	wh/0591.bmp
56.16	0.72	69	2	7	50	mem	con	mod	mod	mod	tg	ht	wh/0697.bmp
56.88	0.72	70	1	6	128	per	lib	mod	mod	mod	nt	fa	nh/0928_nh.bmp
