onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	4	23	per	lib	mod	mod	mod	nt	cr	nh/0098_nh.bmp
7.92	0.72	2	1	4	34	per	con	mod	mod	mod	nt	fa	nh/0981_nh.bmp
8.64	0.72	3	1	3	30	mem	lib	mod	mod	low	nt	ht	nh/0739_nh.bmp
9.36	0.72	4	1	3	120	per	lib	low	mod	low	tg	ms	wh/0853.bmp
10.08	0.72	5	1	4	24	per	lib	mod	mod	mod	nt	cr	nh/0627_nh.bmp
10.80	0.72	6	1	1	54	mem	con	mod	mod	mod	nt	ms	nh/0841_nh.bmp
11.52	0.72	7	1	3	19	mem	lib	mod	mod	low	tg	ht	wh/0868.bmp
12.24	0.72	8	1	2	128	per	lib	low	mod	low	tg	ms	wh/0298.bmp
12.96	0.72	9	1	1	85	per	con	low	mod	low	nt	cr	nh/0455_nh.bmp
13.68	0.72	10	1	1	106	mem	lib	mod	mod	low	tg	ht	wh/0649.bmp
14.40	0.72	11	2	4	23	per	lib	mod	mod	mod	nt	cr	nh/0098_nh.bmp
15.12	0.72	12	1	2	13	mem	con	mod	mod	low	tg	ht	wh/0515.bmp
15.84	0.72	13	1	2	88	mem	con	low	low	low	nt	ms	nh/0486_nh.bmp
16.56	0.72	14	2	3	30	mem	lib	mod	mod	low	nt	ht	nh/0739_nh.bmp
17.28	0.72	15	1	2	65	per	lib	mod	mod	mod	nt	fa	nh/0100_nh.bmp
18.00	0.72	16	1	1	57	mem	con	mod	mod	mod	tg	ms	wh/0785.bmp
18.72	0.72	17	1	1	116	per	lib	low	low	low	nt	cr	nh/0533_nh.bmp
19.44	0.72	18	1	4	107	mem	lib	low	low	low	nt	ms	nh/0057_nh.bmp
20.16	0.72	19	1	1	16	mem	con	low	low	mod	tg	ms	wh/0659.bmp
20.88	0.72	20	1	2	70	per	lib	mod	mod	mod	nt	fa	nh/0183_nh.bmp
21.60	0.72	21	1	2	38	per	con	low	low	low	tg	ms	wh/0126.bmp
22.32	0.72	22	1	3	40	mem	con	mod	mod	low	tg	ms	wh/0128.bmp
23.04	0.72	23	1	4	104	mem	lib	low	low	low	tg	ms	wh/0142.bmp
23.76	0.72	24	1	2	127	per	lib	low	mod	low	tg	ht	wh/0704.bmp
24.48	0.72	25	2	3	40	mem	con	mod	mod	low	tg	ms	wh/0128.bmp
25.20	0.72	26	1	4	26	per	lib	mod	mod	mod	nt	cr	nh/0429_nh.bmp
25.92	0.72	27	1	2	23	mem	lib	low	low	mod	nt	ht	nh/0476_nh.bmp
26.64	0.72	28	1	2	2	mem	con	mod	mod	low	tg	ms	wh/0133.bmp
27.36	0.72	29	1	3	17	mem	lib	mod	mod	low	nt	ht	nh/0217_nh.bmp
28.08	0.72	30	1	3	25	mem	lib	mod	mod	low	nt	ht	nh/0675_nh.bmp
28.80	0.72	31	1	4	40	per	con	mod	mod	mod	tg	ht	wh/0801.bmp
29.52	0.72	32	1	3	47	mem	con	mod	mod	low	tg	ms	wh/0816.bmp
30.24	0.72	33	1	4	88	mem	con	low	low	low	tg	ht	wh/0354.bmp
30.96	0.72	34	1	4	35	per	con	mod	mod	mod	tg	ht	wh/0391.bmp
31.68	0.72	35	1	2	82	mem	con	low	low	low	tg	ms	wh/0651.bmp
32.40	0.72	36	1	1	62	mem	con	mod	mod	mod	nt	ht	nh/0561_nh.bmp
33.12	0.72	37	1	4	7	mem	con	mod	mod	mod	nt	ht	nh/0935_nh.bmp
33.84	0.72	38	1	4	106	mem	lib	low	low	low	tg	ms	wh/0771.bmp
34.56	0.72	39	1	4	17	per	lib	mod	mod	mod	nt	fa	nh/0692_nh.bmp
35.28	0.72	40	1	3	128	per	lib	low	mod	low	nt	cr	nh/0251_nh.bmp
36.00	0.72	41	1	1	100	mem	lib	mod	mod	low	nt	ht	nh/0741_nh.bmp
36.72	0.72	42	2	3	47	mem	con	mod	mod	low	tg	ms	wh/0816.bmp
37.44	0.72	43	1	3	114	per	lib	low	mod	low	nt	cr	nh/0233_nh.bmp
38.16	0.72	44	1	1	60	mem	con	mod	mod	mod	tg	ht	wh/0463.bmp
