onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	4	121	per	con	low	mod	low	tg	ht	wh/0661.bmp
7.92	0.72	2	1	2	59	mem	con	mod	mod	mod	nt	ms	nh/0427_nh.bmp
8.64	0.72	3	1	3	66	mem	con	mod	mod	low	tg	ht	wh/0882.bmp
9.36	0.72	4	1	1	70	mem	con	mod	mod	low	nt	ms	nh/0400_nh.bmp
10.08	0.72	5	2	4	121	per	con	low	mod	low	tg	ht	wh/0661.bmp
10.80	0.72	6	1	1	7	per	con	mod	mod	mod	nt	cr	nh/0358_nh.bmp
11.52	0.72	7	1	2	3	per	lib	mod	low	mod	nt	cr	nh/0409_nh.bmp
12.24	0.72	8	1	3	38	mem	lib	mod	mod	low	nt	ms	nh/0554_nh.bmp
12.96	0.72	9	1	3	71	mem	con	mod	mod	low	nt	ht	nh/0259_nh.bmp
13.68	0.72	10	1	2	109	per	lib	low	low	low	nt	fa	nh/0171_nh.bmp
14.40	0.72	11	1	4	9	per	lib	low	mod	low	tg	ht	wh/0444.bmp
15.12	0.72	12	1	2	82	mem	lib	mod	mod	mod	nt	ms	nh/0479_nh.bmp
15.84	0.72	13	1	1	12	per	con	mod	mod	mod	tg	ms	wh/0809.bmp
16.56	0.72	14	1	3	55	mem	lib	low	low	low	tg	ht	wh/0169.bmp
17.28	0.72	15	1	4	97	mem	con	mod	mod	mod	nt	ht	nh/0097_nh.bmp
18.00	0.72	16	1	2	120	per	con	mod	low	mod	tg	ht	wh/0004.bmp
18.72	0.72	17	1	1	2	per	con	mod	mod	mod	tg	ht	wh/0861.bmp
19.44	0.72	18	1	4	45	mem	con	low	low	low	tg	ht	wh/0471.bmp
20.16	0.72	19	1	4	106	mem	con	mod	mod	mod	tg	ht	wh/0333.bmp
20.88	0.72	20	1	4	6	per	lib	low	mod	low	tg	ms	wh/0415.bmp
21.60	0.72	21	1	1	57	per	lib	mod	mod	mod	tg	ms	wh/0538.bmp
22.32	0.72	22	1	3	23	per	lib	mod	low	mod	tg	ms	wh/0991.bmp
23.04	0.72	23	1	4	65	mem	lib	mod	mod	mod	nt	ht	nh/0279_nh.bmp
23.76	0.72	24	1	3	68	mem	con	mod	mod	low	tg	ht	wh/0302.bmp
