onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
7.20	0.72	1	1	3	34	per	lib	mod	mod	mod	tg	ht	wh/0526.bmp
7.92	0.72	2	1	1	70	per	con	mod	mod	mod	tg	ht	wh/0642.bmp
8.64	0.72	3	1	2	31	per	con	mod	low	mod	nt	cr	nh/0702_nh.bmp
9.36	0.72	4	1	3	39	per	lib	mod	mod	mod	tg	ht	wh/0002.bmp
10.08	0.72	5	1	1	111	mem	lib	mod	mod	mod	tg	ht	wh/0692.bmp
10.80	0.72	6	1	1	46	mem	con	mod	mod	mod	tg	ht	wh/0681.bmp
11.52	0.72	7	1	4	45	per	con	low	mod	low	tg	ms	wh/0031.bmp
12.24	0.72	8	1	1	61	per	lib	low	mod	low	nt	fa	nh/0868_nh.bmp
12.96	0.72	9	1	3	77	per	lib	low	low	low	nt	fa	nh/0330_nh.bmp
13.68	0.72	10	1	3	83	mem	lib	mod	mod	mod	tg	ht	wh/0183.bmp
14.40	0.72	11	1	2	48	mem	lib	mod	mod	low	tg	ht	wh/0836.bmp
15.12	0.72	12	1	4	116	per	lib	mod	low	mod	tg	ht	wh/0887.bmp
15.84	0.72	13	1	3	82	mem	lib	mod	mod	mod	tg	ht	wh/0473.bmp
16.56	0.72	14	1	1	64	per	lib	low	mod	low	tg	ht	wh/0217.bmp
17.28	0.72	15	2	1	46	mem	con	mod	mod	mod	tg	ht	wh/0681.bmp
18.00	0.72	16	1	1	122	per	lib	mod	low	mod	nt	fa	nh/0501_nh.bmp
18.72	0.72	17	1	1	62	per	lib	low	mod	low	nt	fa	nh/0421_nh.bmp
19.44	0.72	18	1	3	94	mem	lib	mod	mod	mod	tg	ht	wh/0750.bmp
20.16	0.72	19	1	4	60	mem	lib	low	low	mod	tg	ms	wh/0829.bmp
20.88	0.72	20	1	2	11	per	lib	low	low	low	tg	ms	wh/0682.bmp
21.60	0.72	21	1	3	111	per	con	mod	mod	mod	nt	cr	nh/0698_nh.bmp
22.32	0.72	22	1	3	99	per	con	mod	mod	mod	tg	ht	wh/0585.bmp
23.04	0.72	23	1	4	74	mem	con	mod	mod	low	nt	ms	nh/0200_nh.bmp
23.76	0.72	24	1	4	16	per	lib	low	mod	low	nt	cr	nh/0014_nh.bmp
24.48	0.72	25	1	2	65	per	lib	mod	mod	mod	nt	cr	nh/0287_nh.bmp
25.20	0.72	26	1	2	49	mem	lib	low	low	low	tg	ht	wh/0122.bmp
25.92	0.72	27	2	3	34	per	lib	mod	mod	mod	tg	ht	wh/0526.bmp
26.64	0.72	28	1	2	120	per	con	low	mod	low	nt	cr	nh/0529_nh.bmp
27.36	0.72	29	2	3	99	per	con	mod	mod	mod	tg	ht	wh/0585.bmp
28.08	0.72	30	1	1	79	per	con	mod	mod	mod	tg	ms	wh/0984.bmp
28.80	0.72	31	1	2	128	per	con	low	mod	low	nt	cr	nh/0816_nh.bmp
29.52	0.72	32	1	2	81	mem	con	mod	mod	low	tg	ht	wh/0514.bmp
30.24	0.72	33	1	2	92	mem	con	mod	mod	low	nt	ht	nh/0745_nh.bmp
30.96	0.72	34	1	4	73	mem	con	mod	mod	low	nt	ms	nh/1021_nh.bmp
31.68	0.72	35	1	3	6	per	con	low	low	low	nt	cr	nh/0651_nh.bmp
32.40	0.72	36	1	3	116	mem	con	mod	mod	mod	nt	ht	nh/0017_nh.bmp
33.12	0.72	37	1	3	46	per	lib	mod	mod	mod	tg	ms	wh/0724.bmp
33.84	0.72	38	3	3	34	per	lib	mod	mod	mod	tg	ht	wh/0526.bmp
34.56	0.72	39	1	4	79	mem	con	mod	mod	low	tg	ht	wh/0168.bmp
35.28	0.72	40	2	1	64	per	lib	low	mod	low	tg	ht	wh/0217.bmp
36.00	0.72	41	1	2	80	per	lib	mod	mod	mod	nt	fa	nh/0847_nh.bmp
36.72	0.72	42	1	2	71	per	lib	mod	mod	mod	tg	ht	wh/0857.bmp
37.44	0.72	43	1	4	40	per	con	low	mod	low	nt	cr	nh/0155_nh.bmp
38.16	0.72	44	1	1	58	per	lib	low	mod	low	tg	ht	wh/0177.bmp
38.88	0.72	45	1	1	41	mem	con	mod	mod	mod	nt	ht	nh/0605_nh.bmp
39.60	0.72	46	2	2	48	mem	lib	mod	mod	low	tg	ht	wh/0836.bmp
40.32	0.72	47	1	4	15	per	lib	low	mod	low	nt	cr	nh/0926_nh.bmp
41.04	0.72	48	2	3	82	mem	lib	mod	mod	mod	tg	ht	wh/0473.bmp
41.76	0.72	49	1	3	108	per	con	mod	mod	mod	nt	cr	nh/0785_nh.bmp
42.48	0.72	50	1	4	92	mem	lib	mod	mod	low	nt	ht	nh/0704_nh.bmp
43.20	0.72	51	1	2	126	per	con	low	mod	low	tg	ms	wh/0997.bmp
43.92	0.72	52	1	1	40	mem	con	mod	mod	mod	nt	ht	nh/0801_nh.bmp
44.64	0.72	53	1	2	89	mem	con	mod	mod	low	tg	n/a	wh/0231.bmp
45.36	0.72	54	1	2	67	per	lib	mod	mod	mod	tg	ms	wh/0070.bmp
46.08	0.72	55	1	3	118	mem	con	mod	mod	mod	nt	ms	nh/0959_nh.bmp
46.80	0.72	56	2	1	61	per	lib	low	mod	low	nt	fa	nh/0868_nh.bmp
47.52	0.72	57	2	4	73	mem	con	mod	mod	low	nt	ms	nh/1021_nh.bmp
